# Number of sequences per sample after every processing step.
Sample_ID	Demultiplexing	Merging	EE-filtering	Chimeras-Artifacts	OTU Abundance filter
62.191.12	17694	15396	7319	7185	6925
49.193.10	19308	17842	10169	9878	9528
41.192.9	18222	16746	9680	9323	8800
60.218.12	20544	18653	10542	10212	9704
33.190.9	19985	18393	10697	10553	10155
35.203.9	19710	17861	9883	9619	9278
32.189.9	16962	15069	8292	8119	7742
34.193.9	16742	15583	9306	8943	8605
14.195.5	16199	14749	8462	8233	7900
40.191.9	19161	17233	9240	9042	8618
45.186.10	23388	21003	11178	10892	10432
64.194.12	7468	7090	4753	4654	4438
48.190.10	19303	17656	10036	9792	9395
31.188.9	16478	14618	7510	7270	7096
3.189.5	13921	12792	7134	6974	6754
57.193.12	19245	17655	9879	9615	9219
44.196.9	16307	14493	7595	7470	7226
6.203.5	14664	13755	8682	8496	8088
58.203.12	17492	16030	9541	9279	8889
36.213.9	20363	18512	10265	9859	9426
30.186.9	15943	14450	8339	8103	7732
23.218.7	12213	11526	7467	7238	6939
5.193.5	15258	14174	8303	7998	7708
12.192.5	22396	19816	10428	9928	9495
43.195.9	19217	17468	9868	9508	8992
10.187.5	20415	18652	10862	10436	9880
7.213.5	16266	14688	7428	7337	7195
46.188.10	2723	2503	1527	1435	1366
28.195.7	15227	13562	7312	7124	6846
56.188.12	18876	17600	10529	10152	9655
15.196.5	19171	17246	9182	9008	8679
13.194.5	17489	16197	9473	9196	8763
24.185.7	14606	13555	7775	7563	7281
52.218.10	15172	14046	7987	7749	7466
22.213.7	15983	14675	8711	8531	8202
39.187.9	39041	34272	17443	16876	15979
63.192.12	15329	13872	7659	7152	6742
9.185.5	14710	13278	7206	7084	6779
19.190.7	17681	16413	10241	9954	9395
51.213.10	15120	13731	7072	6984	6851
20.193.7	5800	5287	2873	2803	2739
29.196.7	17826	15868	8364	8189	7856
65.195.12	21333	18701	9582	9285	8852
50.203.10	20563	18973	11141	10729	10118
1.186.5	18850	16943	9363	9056	8651
42.194.9	17986	16728	10101	9734	9117
38.185.9	17598	15799	8675	8434	7965
2.188.5	19597	18317	10827	10567	10026
25.187.7	24272	20674	9910	9651	9199
8.218.5	12596	11633	6750	6545	6282
17.188.7	15529	14518	8773	8460	8069
21.203.7	10099	9139	5062	4961	4858
47.189.10	19584	17144	9239	8951	8510
55.195.10	19541	18115	10726	10287	9747
66.196.12	14743	13551	7698	7511	7131
54.194.10	18440	17150	10655	9795	9272
59.213.12	16456	14701	7110	7013	6859
53.191.10	18851	16358	8054	7867	7592
18.189.7	13041	11435	6449	6346	6119
4.190.5	15209	14106	8036	7955	7772
37.218.9	14318	13106	7021	6835	6623
61.185.12	21834	19584	10639	10303	9851
27.192.7	19726	17927	10040	9795	9372
11.191.5	15484	13772	7044	6955	6700
16.186.7	14995	13565	8108	7920	7563
