	Sample_id	Richness	Shannon	Shannon.effective	Simpson	Simpson.effective	Evenness
1.186.5	186	162	4.290737906	73.02	0.024745135	40.41	0.584581143
10.187.5	187	172	4.332963167	76.17	0.026041486	38.4	0.583464677
11.191.5	191	146	4.102834435	60.51	0.029870617	33.48	0.570644583
12.192.5	192	168	4.426533809	83.64	0.020527808	48.71	0.598801912
13.194.5	194	168	4.523167174	92.13	0.017600651	56.82	0.611874046
14.195.5	195	159	4.339422	76.66	0.022933472	43.6	0.593394155
15.196.5	196	151	4.144823953	63.11	0.031700706	31.55	0.572615666
16.186.7	186	131	3.876010698	48.23	0.047761892	20.94	0.551084543
17.188.7	188	161	4.035701019	56.58	0.034550665	28.94	0.550504267
18.189.7	189	132	3.981759133	53.61	0.036249163	27.59	0.565237984
19.190.7	190	152	4.19849653	66.59	0.029067979	34.4	0.57926856
2.188.5	188	150	3.993509359	54.24	0.039661452	25.21	0.552442872
20.193.7	193	107	3.840511512	46.55	0.038260513	26.14	0.569684836
21.203.7	203	120	3.854481693	47.2	0.036553136	27.36	0.558063233
22.213.7	213	149	4.250583968	70.15	0.025972219	38.5	0.588791348
23.218.7	218	138	3.920283236	50.41	0.049344897	20.27	0.551490434
24.185.7	185	140	3.823460389	45.76	0.045396427	22.03	0.536303634
25.187.7	187	164	4.371407014	79.15	0.021312466	46.92	0.594138786
27.192.7	192	176	4.465053237	86.93	0.018546564	53.92	0.598578212
28.195.7	195	167	4.302223616	73.86	0.023504068	42.55	0.582664669
29.196.7	196	166	4.322119127	75.35	0.022930928	43.61	0.586046918
3.189.5	189	137	4.075232492	58.86	0.028611348	34.95	0.574135541
30.186.9	186	152	4.111378702	61.03	0.033307103	30.02	0.567248871
31.188.9	188	134	3.924119942	50.61	0.036980081	27.04	0.555345374
32.189.9	189	154	4.340022515	76.71	0.021981541	45.49	0.597240952
33.190.9	190	145	4.02587414	56.03	0.043856269	22.8	0.560713804
34.193.9	193	138	4.081701738	59.25	0.030307083	33	0.57419817
35.203.9	203	159	4.275364371	71.91	0.02855436	35.02	0.584634596
36.213.9	213	144	3.901056518	49.45	0.046465935	21.52	0.544086098
37.218.9	218	119	3.577429686	35.78	0.052503106	19.05	0.518857758
38.185.9	185	167	4.40499534	81.86	0.020463839	48.87	0.59658339
39.187.9	187	170	4.475356684	87.83	0.017697891	56.5	0.604011412
4.190.5	190	142	3.890120829	48.92	0.039053086	25.61	0.544092087
40.191.9	191	151	4.32716506	75.73	0.023468585	42.61	0.597806453
41.192.9	192	169	4.480939719	88.32	0.019502092	51.28	0.60546044
42.194.9	194	174	4.459590893	86.45	0.022405173	44.63	0.599170328
43.195.9	195	176	4.429440283	83.88	0.021610401	46.27	0.593803993
44.196.9	196	163	4.332186441	76.11	0.021013969	47.59	0.589515131
45.186.10	186	147	4.143813808	63.04	0.030678982	32.6	0.575555888
46.188.10	188	150	3.915026569	50.15	0.052824397	18.93	0.54158594
47.189.10	189	150	4.17671222	65.15	0.030450552	32.84	0.577786274
48.190.10	190	152	4.1890754	65.96	0.031085743	32.17	0.577968722
49.193.10	193	142	4.062214133	58.1	0.030589765	32.69	0.568161931
5.193.5	193	150	4.236731469	69.18	0.021776282	45.92	0.586089049
50.203.10	203	167	4.395474496	81.08	0.024832163	40.27	0.59529395
51.213.10	213	118	3.5505411	34.83	0.068604168	14.58	0.515868842
52.218.10	218	141	3.922227167	50.51	0.03661327	27.31	0.549366056
53.191.10	191	158	4.238289613	69.29	0.026083485	38.34	0.580287081
54.194.10	194	179	4.526769643	92.46	0.020494874	48.79	0.604874542
55.195.10	195	182	4.463677343	86.81	0.021725936	46.03	0.594539083
56.188.12	188	164	4.284178036	72.54	0.026731056	37.41	0.582283079
57.193.12	193	152	4.215596746	67.73	0.026799083	37.31	0.581627884
58.203.12	203	166	4.493187167	89.41	0.019946599	50.13	0.60924246
59.213.12	213	123	3.813383658	45.3	0.040664198	24.59	0.549279898
6.203.5	203	160	4.211401025	67.45	0.027679759	36.13	0.575176507
60.218.12	218	164	4.182978517	65.56	0.032337741	30.92	0.56852857
61.185.12	185	169	4.277732882	72.08	0.025485727	39.24	0.57800332
62.191.12	191	157	4.251126165	70.18	0.025137552	39.78	0.582775488
63.192.12	192	172	4.366561215	78.77	0.022187563	45.07	0.587988896
64.194.12	194	165	4.395400483	81.08	0.023050447	43.38	0.596688599
65.195.12	195	175	4.472404117	87.57	0.019675692	50.82	0.600225124
66.196.12	196	187	4.402703436	81.67	0.024903011	40.16	0.583379489
7.213.5	213	111	3.631939023	37.79	0.053417742	18.72	0.534547648
8.218.5	218	150	4.224229565	68.32	0.027088508	36.92	0.584359595
9.185.5	185	147	4.139110849	62.75	0.028254803	35.39	0.574902669
