#Sample	Age	Genotype	Age_Genotype	sex
1.186.5	5	cre	5_cre	m
2.188.5	5	cre	5_cre	f
3.189.5	5	cre	5_cre	f
4.190.5	5	cre	5_cre	f
5.193.5	5	cre	5_cre	f
6.203.5	5	cre	5_cre	m
7.213.5	5	cre	5_cre	m
8.218.5	5	cre	5_cre	f
9.185.5	5	wt	5_wt	m
10.187.5	5	wt	5_wt	m
11.191.5	5	wt	5_wt	f
12.192.5	5	wt	5_wt	m
13.194.5	5	wt	5_wt	f
14.195.5	5	wt	5_wt	f
15.196.5	5	wt	5_wt	f
16.186.7	7	cre	7_cre	m
17.188.7	7	cre	7_cre	f
18.189.7	7	cre	7_cre	f
19.190.7	7	cre	7_cre	f
20.193.7	7	cre	7_cre	f
21.203.7	7	cre	7_cre	m
22.213.7	7	cre	7_cre	m
23.218.7	7	cre	7_cre	f
24.185.7	7	wt	7_wt	m
25.187.7	7	wt	7_wt	m
27.192.7	7	wt	7_wt	m
28.195.7	7	wt	7_wt	f
29.196.7	7	wt	7_wt	f
30.186.9	9	cre	9_cre	m
31.188.9	9	cre	9_cre	f
32.189.9	9	cre	9_cre	f
33.190.9	9	cre	9_cre	f
34.193.9	9	cre	9_cre	f
35.203.9	9	cre	9_cre	m
36.213.9	9	cre	9_cre	m
37.218.9	9	cre	9_cre	f
38.185.9	9	wt	9_wt	m
39.187.9	9	wt	9_wt	m
40.191.9	9	wt	9_wt	f
41.192.9	9	wt	9_wt	m
42.194.9	9	wt	9_wt	f
43.195.9	9	wt	9_wt	f
44.196.9	9	wt	9_wt	f
45.186.10	10	cre	10_cre	m
46.188.10	10	cre	10_cre	f
47.189.10	10	cre	10_cre	f
48.190.10	10	cre	10_cre	f
49.193.10	10	cre	10_cre	f
50.203.10	10	cre	10_cre	m
51.213.10	10	cre	10_cre	m
52.218.10	10	cre	10_cre	f
53.191.10	10	wt	10_wt	f
54.194.10	10	wt	10_wt	f
55.195.10	10	wt	10_wt	f
56.188.12	12	cre	12_cre	f
57.193.12	12	cre	12_cre	f
58.203.12	12	cre	12_cre	m
59.213.12	12	cre	12_cre	m
60.218.12	12	cre	12_cre	f
61.185.12	12	wt	12_wt	m
62.191.12	12	wt	12_wt	f
63.192.12	12	wt	12_wt	m
64.194.12	12	wt	12_wt	f
65.195.12	12	wt	12_wt	f
66.196.12	12	wt	12_wt	f
