	name	pvalue	corrected
1	Richness	0.6047	0.8218
2	Shannon.effective	0.6047	0.8218
3	Simpson.effective	0.6047	0.8218
4	OTU_1	0.6239	0.8218
5	OTU_5	0.5845	0.8218
6	OTU_4	0.1181	0.3637
7	OTU_2	0.6047	0.8218
8	OTU_41	0.9442	0.9694
9	OTU_31	0	0
10	OTU_39	0	0
11	OTU_23	0.2104	0.537
12	OTU_9	0.6312	0.8218
13	OTU_20	0.9626	0.9753
14	OTU_17	0.256	0.561
15	OTU_12	0.0029	0.016
16	OTU_10	0.5537	0.8218
17	OTU_19	0.0301	0.1449
18	OTU_11	0.8191	0.9414
19	OTU_57	0.5325	0.8218
20	OTU_54	7e-04	0.0077
21	OTU_46	0.651	0.8218
22	OTU_14	0.1032	0.3311
23	OTU_30	0.0385	0.1744
24	OTU_15	0.8579	0.9653
25	OTU_69	0.5029	0.8218
26	OTU_16	0.1643	0.4518
27	OTU_67	0.8825	0.9653
28	OTU_33	0.5259	0.8218
29	OTU_18	0.6827	0.8479
30	OTU_6	0.0822	0.3058
31	OTU_26	0.2162	0.537
32	OTU_24	0.5486	0.8218
33	OTU_101	0.0025	0.0148
34	OTU_538	0.0022	0.0141
35	OTU_126	0.0021	0.0141
36	OTU_43	0.7688	0.8969
37	OTU_62	0.0011	0.0094
38	OTU_25	0.0474	0.1921
39	OTU_64	0.3336	0.6942
40	OTU_29	0.0937	0.328
41	OTU_13	0.9277	0.9653
42	OTU_56	0.1454	0.4306
43	OTU_49	7e-04	0.0077
44	OTU_7	0.5214	0.8218
45	OTU_42	0.3688	0.7134
46	OTU_55	0.1934	0.5135
47	OTU_92	0.6369	0.8218
48	OTU_8	0.8831	0.9653
49	OTU_66	0.9274	0.9653
50	OTU_65	1e-04	0.0019
51	OTU_195	0.3688	0.7134
52	OTU_180	0.0471	0.1921
53	OTU_32	1	1
54	OTU_28	0.3916	0.7354
55	OTU_68	0.7132	0.8574
56	OTU_48	0.2434	0.561
57	OTU_86	0.2297	0.5527
58	OTU_75	0.3706	0.7134
59	OTU_397	0.9239	0.9653
60	OTU_74	0.9223	0.9653
61	OTU_93	7e-04	0.0077
62	OTU_77	0.6508	0.8218
63	OTU_88	0.7238	0.8574
64	OTU_37	0.6332	0.8218
65	OTU_127	0.6091	0.8218
66	OTU_38	0.5102	0.8218
67	OTU_94	0.0986	0.3301
68	OTU_51	0.2604	0.561
69	OTU_36	0.0104	0.0534
70	OTU_34	0	0
71	OTU_3	0.1617	0.4518
72	OTU_53	0.541	0.8218
73	OTU_22	0.7084	0.8574
74	OTU_281	0.001	0.0094
75	OTU_27	0.2623	0.561
76	OTU_58	0.0834	0.3058
77	OTU_44	0.0021	0.0141
