	measure	Group1	Group2	pvalue	corrected
1	Richness	10_cre	10_wt	0.1281	1
2	Richness	10_cre	12_cre	0.4621	1
3	Richness	10_cre	12_wt	0.7152	1
4	Richness	10_cre	5_cre	1	1
5	Richness	10_cre	5_wt	1	1
6	Richness	10_cre	7_cre	1	1
7	Richness	10_cre	7_wt	0.4621	1
8	Richness	10_cre	9_cre	1	1
9	Richness	10_cre	9_wt	1	1
10	Richness	10_wt	12_cre	0.6817	1
11	Richness	10_wt	12_wt	0.427	1
12	Richness	10_wt	5_cre	0.1281	1
13	Richness	10_wt	5_wt	0.2451	1
14	Richness	10_wt	7_cre	0.1281	1
15	Richness	10_wt	7_wt	0.6817	1
16	Richness	10_wt	9_cre	0.1281	1
17	Richness	10_wt	9_wt	0.2451	1
18	Richness	12_cre	12_wt	1	1
19	Richness	12_cre	5_cre	0.4621	1
20	Richness	12_cre	5_wt	0.7104	1
21	Richness	12_cre	7_cre	0.4621	1
22	Richness	12_cre	7_wt	1	1
23	Richness	12_cre	9_cre	0.4621	1
24	Richness	12_cre	9_wt	0.7104	1
25	Richness	12_wt	5_cre	0.7152	1
26	Richness	12_wt	5_wt	1	1
27	Richness	12_wt	7_cre	0.7152	1
28	Richness	12_wt	7_wt	1	1
29	Richness	12_wt	9_cre	0.7152	1
30	Richness	12_wt	9_wt	1	1
31	Richness	5_cre	5_wt	1	1
32	Richness	5_cre	7_cre	1	1
33	Richness	5_cre	7_wt	0.4621	1
34	Richness	5_cre	9_cre	1	1
35	Richness	5_cre	9_wt	1	1
36	Richness	5_wt	7_cre	1	1
37	Richness	5_wt	7_wt	0.7104	1
38	Richness	5_wt	9_cre	1	1
39	Richness	5_wt	9_wt	1	1
40	Richness	7_cre	7_wt	0.4621	1
41	Richness	7_cre	9_cre	1	1
42	Richness	7_cre	9_wt	1	1
43	Richness	7_wt	9_cre	0.4621	1
44	Richness	7_wt	9_wt	0.7104	1
45	Richness	9_cre	9_wt	1	1
46	Shannon.effective	10_cre	10_wt	0.1281	1
47	Shannon.effective	10_cre	12_cre	0.4621	1
48	Shannon.effective	10_cre	12_wt	0.7152	1
