	name	pvalue	corrected
1	Richness	0.0485	0.1582
2	Shannon.effective	0.1388	0.3253
3	Simpson.effective	0.1232	0.308
4	OTU_1	0.6147	0.7318
5	OTU_5	0.11	0.3056
6	OTU_4	0.2972	0.4846
7	OTU_2	0.3612	0.5518
8	OTU_41	0.5773	0.7131
9	OTU_31	0.4385	0.609
10	OTU_39	0.276	0.46
11	OTU_23	0.9249	0.9249
12	OTU_9	0.8983	0.9248
13	OTU_20	0.58	0.7131
14	OTU_17	4e-04	0.0038
15	OTU_12	0.7338	0.8339
16	OTU_10	0.1917	0.3892
17	OTU_19	0.0149	0.0657
18	OTU_11	0.2519	0.4449
19	OTU_57	0.2327	0.4363
20	OTU_54	0.4203	0.6031
21	OTU_46	0.0896	0.2688
22	OTU_14	0	0
23	OTU_30	1e-04	0.0011
24	OTU_15	1e-04	0.0011
25	OTU_69	0.3382	0.5284
26	OTU_16	0.207	0.4086
27	OTU_67	0.5974	0.7227
28	OTU_33	0.4933	0.6607
29	OTU_18	0.5595	0.7131
30	OTU_6	0.8445	0.9248
31	OTU_26	0.2491	0.4449
32	OTU_24	1e-04	0.0011
33	OTU_101	0.0183	0.0722
34	OTU_538	0.0048	0.0277
35	OTU_126	0.5637	0.7131
36	OTU_43	0.1855	0.3892
37	OTU_62	0	0
38	OTU_25	0.2133	0.4102
39	OTU_64	0.0239	0.0854
40	OTU_29	0.3274	0.5224
41	OTU_13	0.9001	0.9248
42	OTU_56	0.0066	0.033
43	OTU_49	0.7041	0.8251
44	OTU_7	0	0
45	OTU_42	0.7192	0.8298
46	OTU_55	0.138	0.3253
47	OTU_92	0.8798	0.9248
48	OTU_8	0.1167	0.308
49	OTU_66	0.0015	0.0102
50	OTU_65	NA	NA
51	OTU_195	0.4262	0.6031
52	OTU_180	0.261	0.4449
53	OTU_32	0.0776	0.2425
54	OTU_28	0.8584	0.9248
55	OTU_68	0.1524	0.3464
56	OTU_48	0.3916	0.5759
57	OTU_86	0.9189	0.9249
58	OTU_75	0.1753	0.3867
59	OTU_397	0.2603	0.4449
60	OTU_74	0.1218	0.308
61	OTU_93	0.4823	0.6577
62	OTU_77	0.0094	0.0441
63	OTU_88	0	0
64	OTU_37	7e-04	0.0052
65	OTU_127	NA	NA
66	OTU_38	0.0202	0.0758
67	OTU_94	0.3679	0.5518
68	OTU_51	0.0066	0.033
69	OTU_36	0.8756	0.9248
70	OTU_34	0.0046	0.0277
71	OTU_3	0.0301	0.1026
72	OTU_53	0.5513	0.7131
73	OTU_22	0.7723	0.8645
74	OTU_281	5e-04	0.0042
75	OTU_27	0.192	0.3892
76	OTU_58	0.0174	0.0722
77	OTU_44	0.1034	0.2983
