	measure	Group1	Group2	pvalue	corrected
1	Richness	 -	- 	0.0485	0.3642
2	Richness	10_cre	10_wt	0.25	0.4167
3	Richness	10_cre	12_cre	0.4375	0.5469
4	Richness	10_cre	12_wt	0.0355	0.1997
5	Richness	10_cre	5_cre	0.9441	0.9656
6	Richness	10_cre	5_wt	0.2359	0.4167
7	Richness	10_cre	7_cre	0.1829	0.4167
8	Richness	10_cre	7_wt	0.2012	0.4167
9	Richness	10_cre	9_cre	0.5745	0.6434
10	Richness	10_cre	9_wt	0.0223	0.1997
11	Richness	10_wt	12_cre	0.5	0.5921
12	Richness	10_wt	12_wt	1	1
13	Richness	10_wt	5_cre	0.5	0.5921
14	Richness	10_wt	5_wt	0.25	0.4167
15	Richness	10_wt	7_cre	0.25	0.4167
16	Richness	10_wt	7_wt	0.25	0.4167
17	Richness	10_wt	9_cre	0.25	0.4167
18	Richness	10_wt	9_wt	0.5862	0.6434
19	Richness	12_cre	12_wt	0.0625	0.2812
20	Richness	12_cre	5_cre	0.4375	0.5469
21	Richness	12_cre	5_wt	0.3125	0.4688
22	Richness	12_cre	7_cre	0.343	0.4823
23	Richness	12_cre	7_wt	0.5807	0.6434
24	Richness	12_cre	9_cre	0.625	0.6696
25	Richness	12_cre	9_wt	0.1362	0.4167
26	Richness	12_wt	5_cre	0.0313	0.1997
27	Richness	12_wt	5_wt	0.1411	0.4167
28	Richness	12_wt	7_cre	0.0355	0.1997
29	Richness	12_wt	7_wt	0.1875	0.4167
30	Richness	12_wt	9_cre	0.0313	0.1997
31	Richness	12_wt	9_wt	0.1362	0.4167
32	Richness	5_cre	5_wt	0.2969	0.4607
33	Richness	5_cre	7_cre	0.262	0.4211
34	Richness	5_cre	7_wt	0.1875	0.4167
35	Richness	5_cre	9_cre	0.3828	0.522
36	Richness	5_cre	9_wt	0.0156	0.1997
37	Richness	5_wt	7_cre	0.0781	0.3195
38	Richness	5_wt	7_wt	0.8923	0.9338
39	Richness	5_wt	9_cre	0.1411	0.4167
40	Richness	5_wt	9_wt	0.2188	0.4167
41	Richness	7_cre	7_wt	0.0625	0.2812
42	Richness	7_cre	9_cre	0.3264	0.4738
43	Richness	7_cre	9_wt	0.0223	0.1997
44	Richness	7_wt	9_cre	0.1875	0.4167
45	Richness	7_wt	9_wt	0.4375	0.5469
46	Richness	9_cre	9_wt	0.0223	0.1997
47	p__Tenericutes	 -	- 	0.0206	0.1991
48	p__Tenericutes	10_cre	10_wt	NA	NA
49	p__Tenericutes	10_cre	12_cre	NA	NA
50	p__Tenericutes	10_cre	12_wt	1	1
51	p__Tenericutes	10_cre	5_cre	1	1
52	p__Tenericutes	10_cre	5_wt	1	1
53	p__Tenericutes	10_cre	7_cre	NA	NA
54	p__Tenericutes	10_cre	7_wt	NA	NA
55	p__Tenericutes	10_cre	9_cre	1	1
56	p__Tenericutes	10_cre	9_wt	1	1
57	p__Tenericutes	10_wt	12_cre	NA	NA
58	p__Tenericutes	10_wt	12_wt	NA	NA
59	p__Tenericutes	10_wt	5_cre	NA	NA
60	p__Tenericutes	10_wt	5_wt	NA	NA
61	p__Tenericutes	10_wt	7_cre	NA	NA
62	p__Tenericutes	10_wt	7_wt	NA	NA
63	p__Tenericutes	10_wt	9_cre	NA	NA
64	p__Tenericutes	10_wt	9_wt	NA	NA
65	p__Tenericutes	12_cre	12_wt	NA	NA
66	p__Tenericutes	12_cre	5_cre	NA	NA
67	p__Tenericutes	12_cre	5_wt	NA	NA
68	p__Tenericutes	12_cre	7_cre	1	1
69	p__Tenericutes	12_cre	7_wt	NA	NA
70	p__Tenericutes	12_cre	9_cre	NA	NA
71	p__Tenericutes	12_cre	9_wt	NA	NA
72	p__Tenericutes	12_wt	5_cre	NA	NA
73	p__Tenericutes	12_wt	5_wt	NA	NA
74	p__Tenericutes	12_wt	7_cre	NA	NA
75	p__Tenericutes	12_wt	7_wt	NA	NA
76	p__Tenericutes	12_wt	9_cre	NA	NA
77	p__Tenericutes	12_wt	9_wt	1	1
78	p__Tenericutes	5_cre	5_wt	1	1
79	p__Tenericutes	5_cre	7_cre	NA	NA
80	p__Tenericutes	5_cre	7_wt	NA	NA
81	p__Tenericutes	5_cre	9_cre	1	1
82	p__Tenericutes	5_cre	9_wt	NA	NA
83	p__Tenericutes	5_wt	7_cre	NA	NA
84	p__Tenericutes	5_wt	7_wt	NA	NA
85	p__Tenericutes	5_wt	9_cre	0.5	1
86	p__Tenericutes	5_wt	9_wt	NA	NA
87	p__Tenericutes	7_cre	7_wt	NA	NA
88	p__Tenericutes	7_cre	9_cre	NA	NA
