	name	pvalue	corrected
1	Richness	0.0366	0.1483
2	Shannon.effective	0.0366	0.1483
3	Simpson.effective	0.0366	0.1483
4	OTU_1	0.0336	0.1483
5	OTU_5	0.0168	0.1317
6	OTU_4	0.253	0.5398
7	OTU_2	0.0366	0.1483
8	OTU_41	0.567	0.7527
9	OTU_31	0.9057	0.9325
10	OTU_39	0.9538	0.9664
11	OTU_23	0.4937	0.6818
12	OTU_9	0.0336	0.1483
13	OTU_20	0.481	0.6818
14	OTU_17	0.0265	0.1483
15	OTU_12	0.9057	0.9325
16	OTU_10	0.0138	0.1317
17	OTU_19	2e-04	0.0077
18	OTU_11	0.7137	0.8096
19	OTU_57	0.3542	0.6343
20	OTU_54	0.7255	0.8096
21	OTU_46	0.6775	0.7964
22	OTU_14	0.0265	0.1483
23	OTU_30	0.001	0.0154
24	OTU_15	0.5023	0.6818
25	OTU_69	0.2422	0.5328
26	OTU_16	0.0771	0.2264
27	OTU_67	0.6674	0.7964
28	OTU_33	8e-04	0.0154
29	OTU_18	0.1108	0.2752
30	OTU_6	0.0034	0.0436
31	OTU_26	0.0623	0.2086
32	OTU_24	0.6826	0.7964
33	OTU_101	5e-04	0.0128
34	OTU_538	0.0171	0.1317
35	OTU_126	0.0044	0.0484
36	OTU_43	0.2733	0.5428
37	OTU_62	0.397	0.6785
38	OTU_25	0.1309	0.315
39	OTU_64	0.4219	0.6785
40	OTU_29	0.0477	0.1669
41	OTU_13	0.4261	0.6785
42	OTU_56	0.4472	0.6818
43	OTU_49	0.0401	0.1544
44	OTU_7	0.454	0.6818
45	OTU_42	0.3735	0.6536
46	OTU_55	0.5979	0.7547
47	OTU_92	0.6264	0.7779
48	OTU_8	0.2594	0.5398
49	OTU_66	0.9083	0.9325
50	OTU_65	1e-04	0.0077
51	OTU_195	0.4806	0.6818
52	OTU_180	0.0197	0.1379
53	OTU_32	0.9954	0.9954
54	OTU_28	0.1026	0.2721
55	OTU_68	0.1544	0.3497
56	OTU_48	0.0794	0.2264
57	OTU_86	0.7547	0.8302
58	OTU_75	0.5047	0.6818
59	OTU_397	0.4272	0.6785
60	OTU_74	0.6599	0.7964
61	OTU_93	0.593	0.7547
62	OTU_77	0.8373	0.8954
63	OTU_88	0.3427	0.6283
64	OTU_37	0.7214	0.8096
65	OTU_127	0.289	0.5428
66	OTU_38	0.5979	0.7547
67	OTU_94	0.0974	0.2678
68	OTU_51	0.106	0.2721
69	OTU_36	0.0759	0.2264
70	OTU_34	0.2829	0.5428
71	OTU_3	0.4318	0.6785
72	OTU_53	0.1499	0.3497
73	OTU_22	0.7845	0.8508
74	OTU_281	0.0694	0.2227
75	OTU_27	0.0447	0.1639
76	OTU_58	0.4697	0.6818
77	OTU_44	0.2794	0.5428
