	measure	Group1	Group2	pvalue	corrected
1	Richness	5	7	0.4828	0.8047
2	Richness	5	9	1	1
3	Richness	5	10	0.0996	0.249
4	Richness	5	12	0.0996	0.249
5	Richness	7	9	0.4828	0.8047
6	Richness	7	10	0.6513	0.8141
7	Richness	7	12	0.6513	0.8141
8	Richness	9	10	0.0996	0.249
9	Richness	9	12	0.0996	0.249
10	Richness	10	12	1	1
11	Shannon.effective	5	7	0.4828	0.8047
12	Shannon.effective	5	9	1	1
13	Shannon.effective	5	10	0.0996	0.249
14	Shannon.effective	5	12	0.0996	0.249
15	Shannon.effective	7	9	0.4828	0.8047
16	Shannon.effective	7	10	0.6513	0.8141
17	Shannon.effective	7	12	0.6513	0.8141
18	Shannon.effective	9	10	0.0996	0.249
19	Shannon.effective	9	12	0.0996	0.249
20	Shannon.effective	10	12	1	1
21	Simpson.effective	5	7	0.4828	0.8047
22	Simpson.effective	5	9	1	1
23	Simpson.effective	5	10	0.0996	0.249
24	Simpson.effective	5	12	0.0996	0.249
25	Simpson.effective	7	9	0.4828	0.8047
26	Simpson.effective	7	10	0.6513	0.8141
27	Simpson.effective	7	12	0.6513	0.8141
28	Simpson.effective	9	10	0.0996	0.249
29	Simpson.effective	9	12	0.0996	0.249
30	Simpson.effective	10	12	1	1
31	OTU_1	5	7	1	1
32	OTU_1	5	9	1	1
33	OTU_1	5	10	0.1686	0.4215
34	OTU_1	5	12	0.1686	0.4215
35	OTU_1	7	9	0.4828	0.6897
36	OTU_1	7	10	0.3898	0.6497
37	OTU_1	7	12	0.3898	0.6497
38	OTU_1	9	10	0.0421	0.2105
39	OTU_1	9	12	0.0421	0.2105
40	OTU_1	10	12	1	1
41	OTU_5	5	7	0.4828	0.6897
42	OTU_5	5	9	1	1
43	OTU_5	5	10	0.0421	0.2105
44	OTU_5	5	12	0.0169	0.169
45	OTU_5	7	9	1	1
46	OTU_5	7	10	0.3898	0.6497
47	OTU_5	7	12	0.2148	0.4296
48	OTU_5	9	10	0.1686	0.4215
49	OTU_5	9	12	0.0801	0.267
50	OTU_5	10	12	1	1
51	OTU_4	5	7	0.3898	0.6497
52	OTU_4	5	9	1	1
53	OTU_4	5	10	0.2148	0.537
54	OTU_4	5	12	0.2148	0.537
55	OTU_4	7	9	0.3898	0.6497
56	OTU_4	7	10	1	1
57	OTU_4	7	12	1	1
58	OTU_4	9	10	0.2148	0.537
59	OTU_4	9	12	0.2148	0.537
60	OTU_4	10	12	1	1
61	OTU_2	5	7	0.4828	0.8047
62	OTU_2	5	9	1	1
63	OTU_2	5	10	0.0996	0.249
64	OTU_2	5	12	0.0996	0.249
65	OTU_2	7	9	0.4828	0.8047
66	OTU_2	7	10	0.6513	0.8141
67	OTU_2	7	12	0.6513	0.8141
68	OTU_2	9	10	0.0996	0.249
69	OTU_2	9	12	0.0996	0.249
70	OTU_2	10	12	1	1
71	OTU_41	5	7	1	1
72	OTU_41	5	9	1	1
73	OTU_41	5	10	0.4497	0.7495
74	OTU_41	5	12	0.4497	0.7495
75	OTU_41	7	9	1	1
76	OTU_41	7	10	0.4497	0.7495
77	OTU_41	7	12	0.4497	0.7495
78	OTU_41	9	10	0.4497	0.7495
79	OTU_41	9	12	0.4497	0.7495
80	OTU_41	10	12	1	1
81	OTU_31	5	7	0.4661	1
82	OTU_31	5	9	0.7152	1
83	OTU_31	5	10	0.7152	1
84	OTU_31	5	12	1	1
85	OTU_31	7	9	1	1
86	OTU_31	7	10	1	1
87	OTU_31	7	12	0.7152	1
88	OTU_31	9	10	1	1
89	OTU_31	9	12	1	1
90	OTU_31	10	12	1	1
91	OTU_39	5	7	1	1
92	OTU_39	5	9	1	1
93	OTU_39	5	10	1	1
94	OTU_39	5	12	1	1
95	OTU_39	7	9	1	1
96	OTU_39	7	10	1	1
97	OTU_39	7	12	0.7104	1
98	OTU_39	9	10	1	1
99	OTU_39	9	12	0.7104	1
100	OTU_39	10	12	0.7104	1
101	OTU_23	5	7	0.2635	0.9242
102	OTU_23	5	9	1	1
103	OTU_23	5	10	0.4497	0.9242
104	OTU_23	5	12	1	1
105	OTU_23	7	9	0.2635	0.9242
106	OTU_23	7	10	1	1
107	OTU_23	7	12	0.4621	0.9242
108	OTU_23	9	10	0.4497	0.9242
109	OTU_23	9	12	1	1
110	OTU_23	10	12	0.7104	1
111	OTU_9	5	7	1	1
112	OTU_9	5	9	1	1
113	OTU_9	5	10	0.1686	0.4215
114	OTU_9	5	12	0.1686	0.4215
115	OTU_9	7	9	0.4828	0.6897
116	OTU_9	7	10	0.3898	0.6497
117	OTU_9	7	12	0.3898	0.6497
118	OTU_9	9	10	0.0421	0.2105
119	OTU_9	9	12	0.0421	0.2105
120	OTU_9	10	12	1	1
121	OTU_20	5	7	0.6817	0.9739
122	OTU_20	5	9	0.6817	0.9739
123	OTU_20	5	10	0.1281	0.9739
124	OTU_20	5	12	0.6817	0.9739
125	OTU_20	7	9	1	1
126	OTU_20	7	10	0.4621	0.9739
