	name	pvalue	corrected
1	Richness	0.0477	0.2385
2	Shannon.effective	0.2259	0.5134
3	Simpson.effective	0.4658	0.6987
4	OTU_1	0.3714	0.619
5	OTU_5	0.1296	0.4174
6	OTU_4	0.8786	0.9152
7	OTU_2	0.6589	0.7812
8	OTU_41	0.2553	0.5471
9	OTU_31	0.4148	0.6363
10	OTU_39	0.0613	0.2744
11	OTU_23	0.9284	0.9409
12	OTU_9	0.6641	0.7812
13	OTU_20	0.3076	0.619
14	OTU_17	0.1043	0.3556
15	OTU_12	0.6666	0.7812
16	OTU_10	0.6636	0.7812
17	OTU_19	0.1766	0.4567
18	OTU_11	0.7412	0.8175
19	OTU_57	0.3484	0.619
20	OTU_54	0.5788	0.7717
21	OTU_46	0.1507	0.4186
22	OTU_14	0.0761	0.3008
23	OTU_30	0.0415	0.2385
24	OTU_15	0.0153	0.1275
25	OTU_69	0.2254	0.5134
26	OTU_16	0.8728	0.9152
27	OTU_67	0.9535	0.9535
28	OTU_33	0.2006	0.5015
29	OTU_18	0.6189	0.7812
30	OTU_6	0.6159	0.7812
31	OTU_26	0.1423	0.4174
32	OTU_24	0.0137	0.1275
33	OTU_101	0.5348	0.7568
34	OTU_538	0.0367	0.2294
35	OTU_126	0.5637	0.7717
36	OTU_43	0.2498	0.5471
37	OTU_62	0.3264	0.619
38	OTU_25	0.34	0.619
39	OTU_64	0.0929	0.3318
40	OTU_29	0.728	0.8175
41	OTU_13	0.7163	0.8175
42	OTU_56	0.3546	0.619
43	OTU_49	0.0622	0.2744
44	OTU_7	0.0209	0.1568
45	OTU_42	0.3496	0.619
46	OTU_55	0.0762	0.3008
47	OTU_92	0.4894	0.7197
48	OTU_8	0.5865	0.7717
49	OTU_66	0.0455	0.2385
50	OTU_65	NA	NA
51	OTU_195	0.6639	0.7812
52	OTU_180	0.0274	0.1868
53	OTU_32	0.4129	0.6363
54	OTU_28	0.579	0.7717
55	OTU_68	0.5115	0.7377
56	OTU_48	0.3916	0.6363
57	OTU_86	0.9189	0.9409
58	OTU_75	0.0021	0.0315
59	OTU_397	0.7623	0.8286
60	OTU_74	0.2171	0.5134
61	OTU_93	0.0906	0.3318
62	OTU_77	0.0142	0.1275
63	OTU_88	3e-04	0.0056
64	OTU_37	0	0
65	OTU_127	NA	NA
66	OTU_38	0	0
67	OTU_94	0.3679	0.619
68	OTU_51	0	0
69	OTU_36	0.8438	0.9041
70	OTU_34	0.1395	0.4174
71	OTU_3	0.4157	0.6363
72	OTU_53	0.0038	0.0475
73	OTU_22	0.7303	0.8175
74	OTU_281	0.3661	0.619
75	OTU_27	0.2888	0.6017
76	OTU_58	0.1447	0.4174
77	OTU_44	0.1657	0.4438
