	measure	Group1	Group2	pvalue	corrected
1	Richness	 -	- 	0.0477	0.2385
2	Richness	5	7	0.4973	0.5602
3	Richness	5	9	0.4953	0.5602
4	Richness	5	10	0.5042	0.5602
5	Richness	5	12	0.119	0.4193
6	Richness	7	9	0.4214	0.5602
7	Richness	7	10	0.4648	0.5602
8	Richness	7	12	0.0682	0.4193
9	Richness	9	10	0.8939	0.8939
10	Richness	9	12	0.1258	0.4193
11	Richness	10	12	0.2783	0.5602
12	OTU_30	 -	- 	0.0415	0.2385
13	OTU_30	5	7	0.6406	0.8008
14	OTU_30	5	9	0.0039	0.039
15	OTU_30	5	10	0.25	0.3571
16	OTU_30	5	12	0.125	0.3125
17	OTU_30	7	9	0.0156	0.078
18	OTU_30	7	10	0.25	0.3571
19	OTU_30	7	12	0.25	0.3571
20	OTU_30	9	10	0.75	0.8333
21	OTU_30	9	12	0.125	0.3125
22	OTU_30	10	12	1	1
23	OTU_15	 -	- 	0.0153	0.1275
24	OTU_15	5	7	1	1
25	OTU_15	5	9	0.5	0.625
26	OTU_15	5	10	0.25	0.625
27	OTU_15	5	12	0.5	0.625
28	OTU_15	7	9	0.5	0.625
29	OTU_15	7	10	0.375	0.625
30	OTU_15	7	12	0.375	0.625
31	OTU_15	9	10	0.25	0.625
32	OTU_15	9	12	1	1
33	OTU_15	10	12	0.4375	0.625
34	OTU_24	 -	- 	0.0137	0.1275
35	OTU_24	5	7	1	1
36	OTU_24	5	9	0.3125	1
37	OTU_24	5	10	1	1
38	OTU_24	5	12	0.3125	1
39	OTU_24	7	9	0.5	1
40	OTU_24	7	10	1	1
41	OTU_24	7	12	0.625	1
42	OTU_24	9	10	0.5	1
43	OTU_24	9	12	0.875	1
44	OTU_24	10	12	0.375	1
45	OTU_538	 -	- 	0.0367	0.2294
46	OTU_538	5	7	0.625	1
47	OTU_538	5	9	0.8438	1
48	OTU_538	5	10	1	1
49	OTU_538	5	12	0.1094	1
50	OTU_538	7	9	1	1
51	OTU_538	7	10	1	1
52	OTU_538	7	12	0.5	1
53	OTU_538	9	10	1	1
54	OTU_538	9	12	1	1
55	OTU_538	10	12	0.75	1
56	OTU_7	 -	- 	0.0209	0.1568
57	OTU_7	5	7	0.75	1
58	OTU_7	5	9	0.25	0.8333
59	OTU_7	5	10	0.5	1
60	OTU_7	5	12	1	1
61	OTU_7	7	9	0.25	0.8333
62	OTU_7	7	10	1	1
63	OTU_7	7	12	0.125	0.8333
64	OTU_7	9	10	1	1
65	OTU_7	9	12	1	1
66	OTU_7	10	12	1	1
67	OTU_66	 -	- 	0.0455	0.2385
68	OTU_66	5	7	NA	NA
69	OTU_66	5	9	NA	NA
70	OTU_66	5	10	NA	NA
71	OTU_66	5	12	NA	NA
72	OTU_66	7	9	NA	NA
73	OTU_66	7	10	NA	NA
74	OTU_66	7	12	1	1
75	OTU_66	9	10	1	1
76	OTU_66	9	12	NA	NA
77	OTU_66	10	12	NA	NA
78	OTU_180	 -	- 	0.0274	0.1868
79	OTU_180	5	7	NA	NA
80	OTU_180	5	9	NA	NA
81	OTU_180	5	10	NA	NA
82	OTU_180	5	12	NA	NA
83	OTU_180	7	9	1	1
84	OTU_180	7	10	0.5	1
85	OTU_180	7	12	1	1
86	OTU_180	9	10	1	1
87	OTU_180	9	12	NA	NA
88	OTU_180	10	12	NA	NA
89	OTU_75	 -	- 	0.0021	0.0315
90	OTU_75	5	7	1	1
91	OTU_75	5	9	1	1
92	OTU_75	5	10	NA	NA
93	OTU_75	5	12	1	1
94	OTU_75	7	9	NA	NA
95	OTU_75	7	10	1	1
96	OTU_75	7	12	NA	NA
97	OTU_75	9	10	NA	NA
98	OTU_75	9	12	1	1
99	OTU_75	10	12	NA	NA
100	OTU_77	 -	- 	0.0142	0.1275
101	OTU_77	5	7	NA	NA
102	OTU_77	5	9	NA	NA
103	OTU_77	5	10	1	1
104	OTU_77	5	12	1	1
105	OTU_77	7	9	1	1
106	OTU_77	7	10	1	1
107	OTU_77	7	12	1	1
108	OTU_77	9	10	NA	NA
109	OTU_77	9	12	1	1
110	OTU_77	10	12	0.5	1
111	OTU_88	 -	- 	3e-04	0.0056
112	OTU_88	5	7	1	1
113	OTU_88	5	9	1	1
114	OTU_88	5	10	1	1
115	OTU_88	5	12	1	1
116	OTU_88	7	9	1	1
117	OTU_88	7	10	1	1
118	OTU_88	7	12	0.25	1
119	OTU_88	9	10	0.5	1
120	OTU_88	9	12	1	1
121	OTU_88	10	12	1	1
122	OTU_37	 -	- 	0	0
123	OTU_37	5	7	NA	NA
124	OTU_37	5	9	0.5	1
125	OTU_37	5	10	NA	NA
126	OTU_37	5	12	NA	NA
127	OTU_37	7	9	NA	NA
128	OTU_37	7	10	1	1
129	OTU_37	7	12	NA	NA
130	OTU_37	9	10	1	1
131	OTU_37	9	12	NA	NA
132	OTU_37	10	12	NA	NA
133	OTU_38	 -	- 	0	0
134	OTU_38	5	7	NA	NA
135	OTU_38	5	9	0.5	1
136	OTU_38	5	10	1	1
137	OTU_38	5	12	1	1
138	OTU_38	7	9	0.5	1
139	OTU_38	7	10	1	1
140	OTU_38	7	12	1	1
141	OTU_38	9	10	1	1
142	OTU_38	9	12	NA	NA
143	OTU_38	10	12	1	1
144	OTU_51	 -	- 	0	0
145	OTU_51	5	7	1	1
146	OTU_51	5	9	1	1
147	OTU_51	5	10	1	1
148	OTU_51	5	12	1	1
149	OTU_51	7	9	0.5	1
150	OTU_51	7	10	NA	NA
151	OTU_51	7	12	1	1
152	OTU_51	9	10	NA	NA
153	OTU_51	9	12	0.75	1
154	OTU_51	10	12	1	1
155	OTU_53	 -	- 	0.0038	0.0475
156	OTU_53	5	7	NA	NA
157	OTU_53	5	9	0.25	0.75
158	OTU_53	5	10	0.25	0.75
159	OTU_53	5	12	0.5	1
160	OTU_53	7	9	1	1
161	OTU_53	7	10	NA	NA
162	OTU_53	7	12	NA	NA
163	OTU_53	9	10	1	1
164	OTU_53	9	12	NA	NA
165	OTU_53	10	12	1	1
