	Richness	Shannon.effective	Simpson.effective
1.186.5	162	73.02	40.41
10.187.5	172	76.17	38.4
11.191.5	146	60.51	33.48
12.192.5	168	83.64	48.71
13.194.5	168	92.13	56.82
14.195.5	159	76.66	43.6
15.196.5	151	63.11	31.55
16.186.7	131	48.23	20.94
17.188.7	161	56.58	28.94
18.189.7	132	53.61	27.59
19.190.7	152	66.59	34.4
2.188.5	150	54.24	25.21
20.193.7	107	46.55	26.14
21.203.7	120	47.2	27.36
22.213.7	149	70.15	38.5
23.218.7	138	50.41	20.27
24.185.7	140	45.76	22.03
25.187.7	164	79.15	46.92
27.192.7	176	86.93	53.92
28.195.7	167	73.86	42.55
29.196.7	166	75.35	43.61
3.189.5	137	58.86	34.95
30.186.9	152	61.03	30.02
31.188.9	134	50.61	27.04
32.189.9	154	76.71	45.49
33.190.9	145	56.03	22.8
34.193.9	138	59.25	33
35.203.9	159	71.91	35.02
36.213.9	144	49.45	21.52
37.218.9	119	35.78	19.05
38.185.9	167	81.86	48.87
39.187.9	170	87.83	56.5
4.190.5	142	48.92	25.61
40.191.9	151	75.73	42.61
41.192.9	169	88.32	51.28
42.194.9	174	86.45	44.63
43.195.9	176	83.88	46.27
44.196.9	163	76.11	47.59
45.186.10	147	63.04	32.6
46.188.10	150	50.15	18.93
47.189.10	150	65.15	32.84
48.190.10	152	65.96	32.17
49.193.10	142	58.1	32.69
5.193.5	150	69.18	45.92
50.203.10	167	81.08	40.27
51.213.10	118	34.83	14.58
52.218.10	141	50.51	27.31
53.191.10	158	69.29	38.34
54.194.10	179	92.46	48.79
55.195.10	182	86.81	46.03
56.188.12	164	72.54	37.41
57.193.12	152	67.73	37.31
58.203.12	166	89.41	50.13
59.213.12	123	45.3	24.59
6.203.5	160	67.45	36.13
60.218.12	164	65.56	30.92
61.185.12	169	72.08	39.24
62.191.12	157	70.18	39.78
63.192.12	172	78.77	45.07
64.194.12	165	81.08	43.38
65.195.12	175	87.57	50.82
66.196.12	187	81.67	40.16
7.213.5	111	37.79	18.72
8.218.5	150	68.32	36.92
9.185.5	147	62.75	35.39
