SampleID	MouseID	Age	Genotype	Age_Genotype	sex	Richness	Shannon.effective	Simpson.effective	k__Bacteria	p__Actinobacteria	p__Bacteroidetes	p__Candidatus Saccharibacteria	p__Deferribacteres	p__Firmicutes	p__Proteobacteria	p__Tenericutes	p__unknown_ Bacteria	c__Actinobacteria	c__Alphaproteobacteria	c__Bacilli	c__Bacteroidia	c__Betaproteobacteria	c__Clostridia	c__Deferribacteres	c__Deltaproteobacteria	c__Erysipelotrichia	c__Mollicutes	c__Saccharibacteria_genera_incertae_sedis	c__unknown_ Bacteria	c__unknown_ Bacteroidetes	c__unknown_ Firmicutes	o__Anaeroplasmatales	o__Bacillales	o__Bacteroidales	o__Burkholderiales	o__Clostridiales	o__Coriobacteriales	o__Deferribacterales	o__Desulfovibrionales	o__Erysipelotrichales	o__Lactobacillales	o__Saccharibacteria_genera_incertae_sedis	o__unknown_ Alphaproteobacteria	o__unknown_ Bacteria	o__unknown_ Bacteroidetes	o__unknown_ Deltaproteobacteria	o__unknown_ Firmicutes	f__Anaeroplasmataceae	f__Bacillaceae 2	f__Bacteroidaceae	f__Coriobacteriaceae	f__Deferribacteraceae	f__Desulfovibrionaceae	f__Erysipelotrichaceae	f__Eubacteriaceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Peptostreptococcaceae	f__Porphyromonadaceae	f__Prevotellaceae	f__Rikenellaceae	f__Ruminococcaceae	f__Saccharibacteria_genera_incertae_sedis	f__Sutterellaceae	f__unknown_ Alphaproteobacteria	f__unknown_ Bacteria	f__unknown_ Bacteroidales	f__unknown_ Bacteroidetes	f__unknown_ Clostridiales	f__unknown_ Deltaproteobacteria	f__unknown_ Firmicutes	g__Alistipes	g__Allobaculum	g__Alloprevotella	g__Anaeroplasma	g__Anaerotruncus	g__Bacteroides	g__Barnesiella	g__Butyricicoccus	g__Clostridium IV	g__Clostridium XI	g__Clostridium XlVa	g__Clostridium XlVb	g__Desulfovibrio	g__Eisenbergiella	g__Enterorhabdus	g__Eubacterium	g__Faecalibacterium	g__Flavonifractor	g__Lachnospiracea_incertae_sedis	g__Lactobacillus	g__Mucispirillum	g__Oceanobacillus	g__Odoribacter	g__Oscillibacter	g__Parabacteroides	g__Parasutterella	g__Parvibacter	g__Prevotella	g__Roseburia	g__Ruminococcus	g__Saccharibacteria_genera_incertae_sedis	g__Turicibacter	g__unknown_ Alphaproteobacteria	g__unknown_ Bacteria	g__unknown_ Bacteroidales	g__unknown_ Bacteroidetes	g__unknown_ Clostridiales	g__unknown_ Deltaproteobacteria	g__unknown_ Desulfovibrionaceae	g__unknown_ Firmicutes	g__unknown_ Lachnospiraceae	g__unknown_ Porphyromonadaceae	g__unknown_ Ruminococcaceae
31.188.9	188	9	cre	9_cre	f	134	50.61	27.04	100	0.098647125	58.37091319	0.394588501	0.338218715	36.17531003	3.494926719	0.760992108	0.366403608	0.098647125	0.310033822	22.12514092	57.58173619	2.874859076	12.7113867	0.338218715	0.310033822	0.366403608	0.760992108	0.394588501	0.366403608	0.789177001	0.972378805	0.760992108	0	57.58173619	2.874859076	12.7113867	0.098647125	0.338218715	0.042277339	0.366403608	22.12514092	0.394588501	0.310033822	0.366403608	0.789177001	0.267756483	0.972378805	0.760992108	0	2.38162345	0.098647125	0.338218715	0.042277339	0.366403608	0.169109357	6.341600902	22.12514092	0.183201804	37.14768884	1.479706877	13.55693348	3.494926719	0.394588501	2.874859076	0.310033822	0.366403608	3.01578354	0.789177001	2.522547914	0.267756483	0.972378805	13.55693348	0	1.155580609	0.760992108	0.155016911	2.38162345	4.622322435	0.140924464	0.338218715	0.183201804	0.084554679	0.126832018	0.014092446	0	0.084554679	0.169109357	0	0.310033822	0.112739572	22.12514092	0.338218715	0	2.790304397	0.112739572	0.394588501	2.874859076	0.014092446	0.324126268	0.028184893	0.366403608	0.394588501	0.366403608	0.310033822	0.366403608	3.01578354	0.789177001	2.522547914	0.267756483	0.028184893	0.972378805	5.989289741	29.34047351	2.071589628
54.194.10	194	10	wt	10_wt	f	179	92.46	48.79	100	0.032355479	29.46505608	0.172562554	0.269628991	68.44262295	1.283433995	0.075496117	0.258843831	0.032355479	0	0.28041415	28.80716135	0.625539258	67.93572045	0.269628991	0.657894737	0	0.075496117	0.172562554	0.258843831	0.657894737	0.226488352	0.075496117	0	28.80716135	0.625539258	67.93572045	0.032355479	0.269628991	0.593183779	0	0.28041415	0.172562554	0	0.258843831	0.657894737	0.064710958	0.226488352	0.075496117	0	1.251078516	0.032355479	0.269628991	0.593183779	0	0.075496117	51.6824849	0.28041415	0	19.32700604	0.161777394	7.528041415	14.13934426	0.172562554	0.625539258	0	0.258843831	0.539257981	0.657894737	2.038395168	0.064710958	0.226488352	7.528041415	0	0.140207075	0.075496117	0.097066437	1.251078516	2.599223469	1.121656601	0.463761864	0	2.459016393	0.603968939	0.021570319	0	0.01078516	0.075496117	0	1.43442623	0.517687662	0.28041415	0.269628991	0	1.768766178	1.682484901	0.129421915	0.625539258	0.021570319	0.021570319	1.197152718	0.345125108	0.172562554	0	0	0.258843831	0.539257981	0.657894737	2.038395168	0.064710958	0.57161346	0.226488352	46.90465919	14.82959448	8.994823123
13.194.5	194	5	wt	5_wt	f	168	92.13	56.82	100	0	22.41241584	0.148351021	0.947164213	74.67762182	1.038457149	0.73034349	0.045646468	0	0	1.905740043	22.14994865	0.30811366	72.64635399	0.947164213	0.73034349	0	0.73034349	0.148351021	0.045646468	0.262467192	0.125527787	0.73034349	0	22.14994865	0.30811366	72.64635399	0	0.947164213	0.661873788	0	1.905740043	0.148351021	0	0.045646468	0.262467192	0.068469702	0.125527787	0.73034349	0	1.335159192	0	0.947164213	0.661873788	0	0.11411617	53.53189547	1.905740043	0	14.75522081	0.171174255	5.363460002	17.31142303	0.148351021	0.30811366	0	0.045646468	0.524934383	0.262467192	1.68891932	0.068469702	0.125527787	5.363460002	0	0.079881319	0.73034349	0.981399064	1.335159192	2.316558256	0.867282894	0.262467192	0	1.654684469	0.627638936	0.011411617	0	0	0.11411617	0	1.472098596	0.753166724	1.905740043	0.947164213	0	0.981399064	1.540568299	0.091292936	0.30811366	0	0.091292936	0.011411617	0.969987447	0.148351021	0	0	0.045646468	0.524934383	0.262467192	1.68891932	0.068469702	0.65046217	0.125527787	50.48499372	11.36597056	11.21761954
64.194.12	194	12	wt	12_wt	f	165	81.08	43.38	100	0.090130689	36.14240649	0.157728707	0.360522758	59.59891843	3.244704822	0.045065345	0.360522758	0.090130689	0	5.903560162	35.48895899	2.523659306	53.19963948	0.360522758	0.721045516	0.022532672	0.045065345	0.157728707	0.360522758	0.653447499	0.47318612	0.045065345	0	35.48895899	2.523659306	53.19963948	0.090130689	0.360522758	0.47318612	0.022532672	5.903560162	0.157728707	0	0.360522758	0.653447499	0.247859396	0.47318612	0.045065345	0	2.433528616	0.090130689	0.360522758	0.47318612	0.022532672	0.090130689	36.95358269	5.903560162	0	18.61198738	0.518251465	13.36187472	12.4831005	0.157728707	2.523659306	0	0.360522758	0.563316809	0.653447499	3.672825597	0.247859396	0.47318612	13.36187472	0.022532672	0.045065345	0.045065345	0.202794051	2.433528616	3.041910771	0.563316809	0.405588103	0	1.622352411	0.811176205	0	0.022532672	0.090130689	0.090130689	0	1.013970257	0.225326724	5.903560162	0.360522758	0	2.523659306	1.780081118	0.540784137	2.523659306	0	0.47318612	0.450653447	1.825146462	0.157728707	0	0	0.360522758	0.563316809	0.653447499	3.672825597	0.247859396	0.47318612	0.47318612	33.82154123	12.50563317	6.692203695
39.187.9	187	9	wt	9_wt	m	170	87.83	56.5	100	0.062582139	45.52224795	0.14393892	0.194004631	51.27980474	1.996370236	0.068840353	0.732211027	0.062582139	0.419300332	0.707178171	45.06539834	1.126478503	47.72513925	0.194004631	0.450591401	0.050065711	0.068840353	0.14393892	0.732211027	0.456849615	2.797421616	0.068840353	0	45.06539834	1.126478503	47.72513925	0.062582139	0.194004631	0.375492834	0.050065711	0.707178171	0.14393892	0.419300332	0.732211027	0.456849615	0.075098567	2.797421616	0.068840353	0	1.138994931	0.062582139	0.194004631	0.375492834	0.050065711	0.181488203	27.41097691	0.707178171	0	33.75680581	1.539520621	6.577382815	14.75061018	0.14393892	1.126478503	0.419300332	0.732211027	2.052694161	0.456849615	5.382063959	0.075098567	2.797421616	6.577382815	0.050065711	0.650854246	0.068840353	0.262844984	1.138994931	1.132736717	0.25658677	0.926215658	0	1.007572439	0.682145316	0.006258214	0	0.03129107	0.181488203	0	0.650854246	0.200262845	0.707178171	0.194004631	0	1.257900995	1.276675637	0.488140685	1.126478503	0.03129107	0.888666375	0.306652481	2.647224482	0.14393892	0	0.419300332	0.732211027	2.052694161	0.456849615	5.382063959	0.075098567	0.36923462	2.797421616	25.21434383	30.87802741	8.730208399
65.195.12	195	12	wt	12_wt	f	175	87.57	50.82	100	0.112968821	56.06642567	0.406687754	0.293718934	40.74785359	1.875282422	0.158156349	0.338906462	0.112968821	0.090375056	1.468594668	54.1572526	1.366922729	38.64663353	0.293718934	0.417984636	0.090375056	0.158156349	0.406687754	0.338906462	1.909173068	0.542250339	0.158156349	0	54.1572526	1.366922729	38.64663353	0.112968821	0.293718934	0.237234523	0.090375056	1.468594668	0.406687754	0.090375056	0.338906462	1.909173068	0.180750113	0.542250339	0.158156349	0	3.174423859	0.112968821	0.293718934	0.237234523	0.090375056	0.237234523	25.71170357	1.468594668	0	39.27925892	0.858563037	10.3931315	9.929959331	0.406687754	1.366922729	0.090375056	0.338906462	0.451875282	1.909173068	2.767736105	0.180750113	0.542250339	10.3931315	0.090375056	0.158156349	0.158156349	0.101671939	3.174423859	3.750564844	0.225937641	1.186172616	0	2.293267058	0.4405784	0.011296882	0.011296882	0.090375056	0.237234523	0	1.050610032	0.519656575	1.468594668	0.293718934	0	1.762313601	0.847266155	1.028016268	1.366922729	0.022593764	0.700406688	0.429281518	0.790781744	0.406687754	0	0.090375056	0.338906462	0.451875282	1.909173068	2.767736105	0.180750113	0.225937641	0.542250339	22.01762314	32.73836421	5.727519205
25.187.7	187	7	wt	7_wt	m	164	79.15	46.92	100	0.076095228	57.59321665	0.391346886	0.054353734	39.27600826	2.489401022	0.043482987	0.076095228	0.076095228	0.413088379	3.098162844	56.7452984	1.8806392	33.27535602	0.054353734	0.195673443	0.03261224	0.043482987	0.391346886	0.076095228	0.847918252	2.869877161	0.043482987	0	56.7452984	1.8806392	33.27535602	0.076095228	0.054353734	0.065224481	0.03261224	3.098162844	0.391346886	0.413088379	0.076095228	0.847918252	0.130448962	2.869877161	0.043482987	0	2.761169692	0.076095228	0.054353734	0.065224481	0.03261224	0.336993151	20.30655506	3.098162844	0.260897924	44.10261985	1.989346668	6.315903903	6.185454941	0.391346886	1.8806392	0.413088379	0.076095228	1.576258289	0.847918252	6.185454941	0.130448962	2.869877161	6.315903903	0.03261224	0.804435265	0.043482987	0.03261224	2.761169692	2.750298946	0.065224481	0.554408088	0.260897924	1.706707251	0.750081531	0	0	0.021741494	0.336993151	0.076095228	0.369605392	0.565278835	3.098162844	0.054353734	0	0.95662572	0.380476139	0.695727796	1.8806392	0.054353734	1.184911403	0.097836721	1.565387542	0.391346886	0	0.413088379	0.076095228	1.576258289	0.847918252	6.185454941	0.130448962	0.065224481	2.869877161	17.18665072	39.69996739	3.141645831
18.189.7	189	7	cre	7_cre	f	132	53.61	27.59	100	0.294165713	59.89540775	0.081712698	0.049027619	37.0321948	2.64749142	0	0	0.294165713	0.621016506	8.84131394	59.14365092	1.242033012	28.06014055	0.049027619	0.784441902	0.049027619	0	0.081712698	0	0.751756823	0.081712698	0	0	59.14365092	1.242033012	28.06014055	0.294165713	0.049027619	0.114397777	0.049027619	8.84131394	0.081712698	0.621016506	0	0.751756823	0.670044125	0.081712698	0	0	2.271613009	0.294165713	0.049027619	0.114397777	0.049027619	0.147082857	19.08808629	8.84131394	0	29.61268181	1.944762216	18.5160974	6.324562837	0.081712698	1.242033012	0.621016506	0	6.798496486	0.751756823	2.500408563	0.670044125	0.081712698	18.5160974	0.049027619	1.715966661	0	0.294165713	2.271613009	9.021081876	0.343193332	0.277823174	0	0.915182219	0.114397777	0	0	0.032685079	0.147082857	0	1.127635235	0.01634254	8.84131394	0.049027619	0	1.863049518	0.44124857	0.294165713	1.242033012	0.261480634	0.228795555	0	0.130740317	0.081712698	0	0.621016506	0	6.798496486	0.751756823	2.500408563	0.670044125	0.114397777	0.081712698	18.04216375	18.4343847	3.709756496
19.190.7	190	7	cre	7_cre	f	152	66.59	34.4	100	0.063863757	34.69930814	0.24481107	0.095795636	57.79670037	5.822245875	0.46833422	0.808940926	0.063863757	3.757317722	2.724853646	34.34805748	0.329962746	53.2623736	0.095795636	1.734965407	0.085151676	0.46833422	0.24481107	0.808940926	0.351250665	1.724321448	0.46833422	0	34.34805748	0.329962746	53.2623736	0.063863757	0.095795636	0.47897818	0.085151676	2.724853646	0.24481107	3.757317722	0.808940926	0.351250665	1.255987227	1.724321448	0.46833422	0	0.936668441	0.063863757	0.095795636	0.47897818	0.085151676	0.063863757	33.78392762	2.724853646	0	12.70888771	1.458222459	17.61575306	17.81798829	0.24481107	0.329962746	3.757317722	0.808940926	1.628525812	0.351250665	1.596593933	1.255987227	1.724321448	17.61575306	0.085151676	0.361894625	0.46833422	0.138371474	0.936668441	0.840872805	0.457690261	0.95795636	0	3.395423097	0.106439596	0.063863757	0	0.042575838	0.063863757	0	1.756253326	0.149015434	2.724853646	0.095795636	0	3.054816392	3.118680149	0.23416711	0.329962746	0.021287919	1.096327834	0	0.585417775	0.24481107	0	3.757317722	0.808940926	1.628525812	0.351250665	1.596593933	1.255987227	0.415114423	1.724321448	30.13304949	8.5790314	10.80361895
12.192.5	192	5	wt	5_wt	m	168	83.64	48.71	100	0.09478673	46.03475513	0.084254871	0.410742496	51.42706688	1.40073723	0.042127435	0.505529226	0.09478673	0	7.256450764	45.2764613	0.832016851	42.46445498	0.410742496	0.568720379	0	0.042127435	0.084254871	0.505529226	0.758293839	1.706161137	0.042127435	0	45.2764613	0.832016851	42.46445498	0.09478673	0.410742496	0.115850448	0	7.256450764	0.084254871	0	0.505529226	0.758293839	0.452869932	1.706161137	0.042127435	0	1.853607162	0.09478673	0.410742496	0.115850448	0	0.210637177	29.7314376	7.256450764	0	30.03686151	0.368615061	12.28014745	8.457082675	0.084254871	0.832016851	0	0.505529226	0.737230121	0.758293839	4.065297525	0.452869932	1.706161137	12.28014745	0	0.157977883	0.042127435	0.084254871	1.853607162	4.160084255	0.221169036	0.18957346	0	1.3059505	0.421274355	0	0.179041601	0.09478673	0.210637177	0.031595577	0.684570827	1.295418641	7.256450764	0.410742496	0	1.737756714	0.768825698	0.242232754	0.832016851	0	0.210637177	0.452869932	2.327540811	0.084254871	0	0	0.505529226	0.737230121	0.758293839	4.065297525	0.452869932	0.115850448	1.706161137	26.07688257	23.89678778	4.149552396
