	Age_Genotype	sex	Richness	Shannon.effective	Simpson.effective	OTU_1	OTU_5	OTU_4	OTU_2	OTU_41	OTU_31	OTU_39	OTU_23	OTU_9	OTU_20	OTU_17	OTU_12	OTU_10	OTU_19	OTU_11	OTU_57	OTU_54	OTU_46	OTU_14	OTU_30	OTU_15	OTU_69	OTU_16	OTU_67	OTU_33	OTU_18	OTU_6	OTU_26	OTU_24	OTU_101	OTU_538	OTU_126	OTU_43	OTU_62	OTU_25	OTU_64	OTU_29	OTU_13	OTU_56	OTU_49	OTU_7	OTU_42	OTU_55	OTU_92	OTU_8	OTU_66	OTU_65	OTU_195	OTU_180	OTU_32	OTU_28	OTU_68	OTU_48	OTU_86	OTU_75	OTU_397	OTU_74	OTU_93	OTU_77	OTU_88	OTU_37	OTU_127	OTU_38	OTU_94	OTU_51	OTU_36	OTU_34	OTU_3	OTU_53	OTU_22	OTU_281	OTU_27	OTU_58	OTU_44
31.188.9	9_cre	f	134	50.61	27.04	5.76381059751973	8.63866967305524	5.11555806087937	6.14430665163472	2.64937993235626	8.80777903043968	6.35569334836528	1.01465614430665	1.53607666290868	2.86076662908681	1.08511837655017	0.916009019165727	3.79086809470124	0.831454340473506	NA	2.91713641488162	1.66290868094701	0.535512965050733	0.620067643742954	0.789177001127396	NA	1.95885005636979	0.648252536640361	2.52254791431793	0.831454340473506	0.873731679819617	NA	0.535512965050733	NA	0.789177001127396	NA	NA	1.31059751972943	0.718714768883878	NA	0.60597519729425	NA	NA	0.775084554678692	NA	NA	NA	0.535512965050733	NA	NA	NA	NA	NA	2.26888387824126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54.194.10	10_wt	f	179	92.46	48.79	4.50819672131148	0.895168248490078	NA	2.01682484900777	0.550043140638481	NA	NA	NA	1.35893011216566	0.625539257981018	0.787316652286454	NA	2.54529767040552	NA	0.67946505608283	0.517687661777394	NA	NA	1.55306298533218	NA	1.47756686798965	0.571613459879206	NA	0.841242450388266	1.3481449525453	0.690250215703192	NA	NA	1.40207075064711	NA	0.981449525452977	NA	0.841242450388266	NA	0.895168248490078	NA	NA	2.6962899050906	NA	NA	5.64063848144953	NA	NA	NA	1.01380500431406	NA	NA	NA	NA	0.819672131147541	1.58541846419327	NA	NA	NA	NA	NA	1.0893011216566	NA	1.0893011216566	0.593183779119931	NA	NA	1.94132873166523	0.550043140638481	0.63632441760138	2.351164797239	1.55306298533218	8.08886971527179	3.2679033649698	0.992234685073339	NA	NA	0.550043140638481	NA
13.194.5	5_wt	f	168	92.13	56.82	2.60184868195823	0.912929362090608	1.15257331963939	2.12256076686066	NA	NA	NA	NA	0.627638936437293	0.684697021567956	NA	NA	2.28232340522652	NA	NA	0.661873787515691	NA	0.673285404541824	0.581992468332763	NA	2.00844459659934	0.547757617254365	NA	NA	1.0498687664042	0.513522766175967	0.969987447221271	NA	1.5063334474495	2.43067442656624	0.536346000228232	NA	NA	NA	1.52915668150177	NA	NA	2.63608353303663	NA	NA	3.13819468218647	NA	NA	NA	2.06550268173	0.947164213169006	NA	NA	NA	0.821636425881547	3.65171744836243	NA	1.86009357525961	0.696108638594089	1.07269200045646	0.78740157480315	NA	NA	0.547757617254365	0.581992468332763	0.696108638594089	NA	0.718931872646354	1.5063334474495	1.10692685153486	6.32203583247746	1.47209859637111	4.6559397466621	0.901517745064476	NA	NA	NA	1.22104302179619	NA
64.194.12	12_wt	f	165	81.08	43.38	8.47228481297882	NA	3.44749887336638	2.43352861649392	1.62235241099594	1.10410094637224	0.901306894997747	0.968904912122578	1.21676430824696	2.4785939612438	0.901306894997747	NA	3.0419107706174	NA	1.91527715187021	1.26182965299685	NA	NA	1.57728706624606	0.788643533123028	1.68995042812078	NA	NA	1.0815682739973	0.518251464623704	2.38846327174403	1.82514646237044	1.30689499774673	0.946372239747634	NA	0.653447498873366	NA	NA	NA	NA	0.743578188373141	NA	NA	NA	NA	2.77151870211807	NA	NA	NA	0.901306894997747	NA	NA	NA	NA	0.743578188373141	2.05047318611987	NA	NA	NA	NA	0.585849481748535	1.21676430824696	0.901306894997747	0.518251464623704	0.788643533123028	NA	NA	0.766110860748085	NA	1.03650292924741	2.20820189274448	NA	7.05272645335737	2.09553853086976	NA	0.766110860748085	NA	NA	NA
39.187.9	9_wt	m	170	87.83	56.5	3.91138369109456	2.61593341260404	0.694661743538394	1.53952062081482	0.719694599161399	NA	NA	NA	1.05763815007197	1.51448776519181	1.83991488829088	NA	1.08892921960073	0.506915326365855	NA	NA	NA	0.882408160710933	4.69366042931347	0.725952813067151	0.938732085862695	NA	2.68477376556731	4.08035546654985	1.2203517116215	NA	2.6472244821328	NA	1.50197133738031	NA	3.06026659991239	NA	1.70223418236435	NA	NA	0.538206395894612	0.888666374616684	2.21540772263596	0.657112460103886	NA	NA	NA	NA	NA	2.00888666374617	NA	NA	NA	1.45816384004005	NA	1.6834595406471	NA	NA	NA	1.182802428187	NA	NA	0.713436385255648	NA	0.657112460103886	NA	1.36429063145378	NA	NA	2.38437949809124	2.44070342324301	2.14030915576694	3.3919519369172	NA	0.700919957444145	NA	NA	NA	2.92884410789161
65.195.12	12_wt	f	175	87.57	50.82	6.45051965657479	2.56439222774514	1.08450067781292	1.22006326253954	0.994125621328513	NA	NA	0.61003163126977	0.994125621328513	1.47989154993222	2.86940804338003	NA	3.70537731586082	NA	2.40623587889742	0.779484862178039	NA	0.96023497514686	4.68820605512878	NA	NA	0.530953456845911	NA	2.54179846362404	2.05603253502033	1.64934478084049	0.79078174423859	0.643922277451423	2.19159511974695	NA	2.65476728422955	NA	2.5982828739268	NA	NA	0.824672390420244	1.15228197017623	0.813375508359693	NA	NA	1.22006326253954	NA	0.564844103027564	0.937641211025757	1.2765476728423	NA	NA	1.06190691369182	NA	NA	1.00542250338906	NA	NA	NA	NA	NA	NA	0.677812923633077	NA	NA	NA	NA	NA	NA	NA	0.982828739267962	2.77903298689562	4.73339358337099	NA	1.69453230908269	0.677812923633077	NA	NA	1.20876638047899
25.187.7	7_wt	m	164	79.15	46.92	2.85900641374062	3.16338732470921	1.64148276986629	1.36971409935863	1.28274812479617	0.706598543319926	NA	NA	0.543537341015328	1.64148276986629	0.717469290140233	NA	2.6524622241548	0.902271986085444	1.47842156756169	0.804435264702685	NA	1.18491140341341	7.20730514186325	1.11968692249158	3.33731927383411	0.739210783780846	2.79378193281878	3.69605391890423	2.11979562995978	1.35884335253832	1.56538754212414	NA	0.750081530601152	NA	4.33742798130232	NA	3.41341450157626	NA	NA	0.554408087835634	NA	NA	0.597891075116861	NA	NA	NA	0.760952277421459	0.608761821937167	NA	NA	NA	0.554408087835634	1.28274812479617	NA	1.19578215023372	NA	NA	NA	0.750081530601152	NA	NA	0.826176758343298	NA	0.728340036960539	NA	NA	NA	NA	NA	NA	3.02206761604522	2.08718338949886	NA	0.826176758343298	0.576149581476247	NA	NA	3.57647570388086
18.189.7	7_cre	f	132	53.61	27.59	9.51135806504331	5.36035299885602	3.28485046576238	7.23974505638176	1.06226507599281	3.10508252982513	1.56888380454323	NA	1.2256904722994	1.47082856675927	NA	0.719071743748979	8.80862886092499	1.09495015525413	NA	3.12142506945579	0.866154600424906	NA	NA	1.74865174048047	NA	1.50351364602059	NA	0.768099362640954	0.735414283379637	0.522961268181075	NA	1.43814348749796	NA	NA	NA	NA	1.12763523451544	NA	1.01323745710083	NA	NA	0.833469521163589	NA	0.964209838208858	3.0397123713025	0.621016505965027	NA	NA	NA	NA	NA	NA	5.67086125183854	NA	0.768099362640954	0.670044124857003	0.670044124857003	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2256904722994	NA	0.637359045595686	NA	NA	NA	NA	NA	NA	NA	NA	NA
19.190.7	7_cre	f	152	66.59	34.4	7.85524215007983	0.77700904736562	0.755721128259713	8.54709952102182	NA	1.16019159127195	0.596061734965407	1.02182011708356	1.8626929217669	0.521554018094731	NA	0.670569451836083	0.808940926024481	NA	NA	0.787653006918574	NA	NA	0.926024481106972	NA	NA	NA	1.64981373070782	0.681213411389037	NA	NA	0.585417775412453	0.649281532730176	3.42735497605109	NA	NA	NA	1.26663118680149	NA	NA	NA	0.745077168706759	NA	NA	NA	NA	3.75731772219266	NA	NA	4.34273549760511	NA	NA	NA	0.766365087812666	1.31985098456626	4.22565194252262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.46886641830761	NA	NA	NA	0.713145290047898	NA	5.97126130920702	NA	3.08674827035657	NA	NA	NA	NA
12.192.5	5_wt	m	168	83.64	48.71	5.53975776724592	1.7798841495524	7.19325961032122	4.17061611374408	0.747761979989468	NA	NA	0.663507109004739	0.874144286466561	1.07424960505529	1.68509741969458	0.568720379146919	4.09689310163244	1.01105845181675	NA	2.1274354923644	NA	0.600315955766193	2.0115850447604	0.884676145339652	2.8436018957346	1.64296998420221	0.610847814639284	0.747761979989468	1.74828857293312	1.5376513954713	2.32754081095313	1.00052659294365	0.600315955766193	0.989994734070563	1.12690889942075	NA	2.34860452869932	0.67403896787783	NA	NA	NA	0.853080568720379	NA	NA	NA	NA	NA	NA	0.947867298578199	NA	1.26382306477093	NA	NA	NA	0.568720379146919	0.610847814639284	NA	NA	1.13744075829384	1.22169562927857	NA	0.884676145339652	NA	NA	0.642443391258557	NA	NA	NA	NA	1.08478146392838	1.70616113744076	2.22222222222222	NA	0.884676145339652	0.853080568720379	0.537124802527646	1.19010005265929	1.26382306477093
