	Richness	Shannon.effective	Simpson.effective	OTU_1	OTU_5	OTU_4	OTU_2	OTU_41	OTU_31	OTU_39	OTU_23	OTU_9	OTU_20	OTU_17	OTU_12	OTU_10	OTU_19	OTU_11	OTU_57	OTU_54	OTU_46	OTU_14	OTU_30	OTU_15	OTU_69	OTU_16	OTU_67	OTU_33	OTU_18	OTU_6	OTU_26	OTU_24	OTU_101	OTU_538	OTU_126	OTU_43	OTU_62	OTU_25	OTU_64	OTU_29	OTU_13	OTU_56	OTU_49	OTU_7	OTU_42	OTU_55	OTU_92	OTU_8	OTU_66	OTU_65	OTU_195	OTU_180	OTU_32	OTU_28	OTU_68	OTU_48	OTU_86	OTU_75	OTU_397	OTU_74	OTU_93	OTU_77	OTU_88	OTU_37	OTU_127	OTU_38	OTU_94	OTU_51	OTU_36	OTU_34	OTU_3	OTU_53	OTU_22	OTU_281	OTU_27	OTU_58	OTU_44
31.188.9	134	50.61	27.04	5.763810598	8.638669673	5.115558061	6.144306652	2.649379932	8.80777903	6.355693348	1.014656144	1.536076663	2.860766629	1.085118377	0.916009019	3.790868095	0.83145434	NA	2.917136415	1.662908681	0.535512965	0.620067644	0.789177001	NA	1.958850056	0.648252537	2.522547914	0.83145434	0.87373168	NA	0.535512965	NA	0.789177001	NA	NA	1.31059752	0.718714769	NA	0.605975197	NA	NA	0.775084555	NA	NA	NA	0.535512965	NA	NA	NA	NA	NA	2.268883878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54.194.10	179	92.46	48.79	4.508196721	0.895168248	NA	2.016824849	0.550043141	NA	NA	NA	1.358930112	0.625539258	0.787316652	NA	2.54529767	NA	0.679465056	0.517687662	NA	NA	1.553062985	NA	1.477566868	0.57161346	NA	0.84124245	1.348144953	0.690250216	NA	NA	1.402070751	NA	0.981449525	NA	0.84124245	NA	0.895168248	NA	NA	2.696289905	NA	NA	5.640638481	NA	NA	NA	1.013805004	NA	NA	NA	NA	0.819672131	1.585418464	NA	NA	NA	NA	NA	1.089301122	NA	1.089301122	0.593183779	NA	NA	1.941328732	0.550043141	0.636324418	2.351164797	1.553062985	8.088869715	3.267903365	0.992234685	NA	NA	0.550043141	NA
13.194.5	168	92.13	56.82	2.601848682	0.912929362	1.15257332	2.122560767	NA	NA	NA	NA	0.627638936	0.684697022	NA	NA	2.282323405	NA	NA	0.661873788	NA	0.673285405	0.581992468	NA	2.008444597	0.547757617	NA	NA	1.049868766	0.513522766	0.969987447	NA	1.506333447	2.430674427	0.536346	NA	NA	NA	1.529156682	NA	NA	2.636083533	NA	NA	3.138194682	NA	NA	NA	2.065502682	0.947164213	NA	NA	NA	0.821636426	3.651717448	NA	1.860093575	0.696108639	1.072692	0.787401575	NA	NA	0.547757617	0.581992468	0.696108639	NA	0.718931873	1.506333447	1.106926852	6.322035832	1.472098596	4.655939747	0.901517745	NA	NA	NA	1.221043022	NA
64.194.12	165	81.08	43.38	8.472284813	NA	3.447498873	2.433528616	1.622352411	1.104100946	0.901306895	0.968904912	1.216764308	2.478593961	0.901306895	NA	3.041910771	NA	1.915277152	1.261829653	NA	NA	1.577287066	0.788643533	1.689950428	NA	NA	1.081568274	0.518251465	2.388463272	1.825146462	1.306894998	0.94637224	NA	0.653447499	NA	NA	NA	NA	0.743578188	NA	NA	NA	NA	2.771518702	NA	NA	NA	0.901306895	NA	NA	NA	NA	0.743578188	2.050473186	NA	NA	NA	NA	0.585849482	1.216764308	0.901306895	0.518251465	0.788643533	NA	NA	0.766110861	NA	1.036502929	2.208201893	NA	7.052726453	2.095538531	NA	0.766110861	NA	NA	NA
39.187.9	170	87.83	56.5	3.911383691	2.615933413	0.694661744	1.539520621	0.719694599	NA	NA	NA	1.05763815	1.514487765	1.839914888	NA	1.08892922	0.506915326	NA	NA	NA	0.882408161	4.693660429	0.725952813	0.938732086	NA	2.684773766	4.080355467	1.220351712	NA	2.647224482	NA	1.501971337	NA	3.0602666	NA	1.702234182	NA	NA	0.538206396	0.888666375	2.215407723	0.65711246	NA	NA	NA	NA	NA	2.008886664	NA	NA	NA	1.45816384	NA	1.683459541	NA	NA	NA	1.182802428	NA	NA	0.713436385	NA	0.65711246	NA	1.364290631	NA	NA	2.384379498	2.440703423	2.140309156	3.391951937	NA	0.700919957	NA	NA	NA	2.928844108
65.195.12	175	87.57	50.82	6.450519657	2.564392228	1.084500678	1.220063263	0.994125621	NA	NA	0.610031631	0.994125621	1.47989155	2.869408043	NA	3.705377316	NA	2.406235879	0.779484862	NA	0.960234975	4.688206055	NA	NA	0.530953457	NA	2.541798464	2.056032535	1.649344781	0.790781744	0.643922277	2.19159512	NA	2.654767284	NA	2.598282874	NA	NA	0.82467239	1.15228197	0.813375508	NA	NA	1.220063263	NA	0.564844103	0.937641211	1.276547673	NA	NA	1.061906914	NA	NA	1.005422503	NA	NA	NA	NA	NA	NA	0.677812924	NA	NA	NA	NA	NA	NA	NA	0.982828739	2.779032987	4.733393583	NA	1.694532309	0.677812924	NA	NA	1.20876638
25.187.7	164	79.15	46.92	2.859006414	3.163387325	1.64148277	1.369714099	1.282748125	0.706598543	NA	NA	0.543537341	1.64148277	0.71746929	NA	2.652462224	0.902271986	1.478421568	0.804435265	NA	1.184911403	7.207305142	1.119686922	3.337319274	0.739210784	2.793781933	3.696053919	2.11979563	1.358843353	1.565387542	NA	0.750081531	NA	4.337427981	NA	3.413414502	NA	NA	0.554408088	NA	NA	0.597891075	NA	NA	NA	0.760952277	0.608761822	NA	NA	NA	0.554408088	1.282748125	NA	1.19578215	NA	NA	NA	0.750081531	NA	NA	0.826176758	NA	0.728340037	NA	NA	NA	NA	NA	NA	3.022067616	2.087183389	NA	0.826176758	0.576149581	NA	NA	3.576475704
18.189.7	132	53.61	27.59	9.511358065	5.360352999	3.284850466	7.239745056	1.062265076	3.10508253	1.568883805	NA	1.225690472	1.470828567	NA	0.719071744	8.808628861	1.094950155	NA	3.121425069	0.8661546	NA	NA	1.74865174	NA	1.503513646	NA	0.768099363	0.735414283	0.522961268	NA	1.438143487	NA	NA	NA	NA	1.127635235	NA	1.013237457	NA	NA	0.833469521	NA	0.964209838	3.039712371	0.621016506	NA	NA	NA	NA	NA	NA	5.670861252	NA	0.768099363	0.670044125	0.670044125	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.225690472	NA	0.637359046	NA	NA	NA	NA	NA	NA	NA	NA	NA
19.190.7	152	66.59	34.4	7.85524215	0.777009047	0.755721128	8.547099521	NA	1.160191591	0.596061735	1.021820117	1.862692922	0.521554018	NA	0.670569452	0.808940926	NA	NA	0.787653007	NA	NA	0.926024481	NA	NA	NA	1.649813731	0.681213411	NA	NA	0.585417775	0.649281533	3.427354976	NA	NA	NA	1.266631187	NA	NA	NA	0.745077169	NA	NA	NA	NA	3.757317722	NA	NA	4.342735498	NA	NA	NA	0.766365088	1.319850985	4.225651943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.468866418	NA	NA	NA	0.71314529	NA	5.971261309	NA	3.08674827	NA	NA	NA	NA
12.192.5	168	83.64	48.71	5.539757767	1.77988415	7.19325961	4.170616114	0.74776198	NA	NA	0.663507109	0.874144286	1.074249605	1.68509742	0.568720379	4.096893102	1.011058452	NA	2.127435492	NA	0.600315956	2.011585045	0.884676145	2.843601896	1.642969984	0.610847815	0.74776198	1.748288573	1.537651395	2.327540811	1.000526593	0.600315956	0.989994734	1.126908899	NA	2.348604529	0.674038968	NA	NA	NA	0.853080569	NA	NA	NA	NA	NA	NA	0.947867299	NA	1.263823065	NA	NA	NA	0.568720379	0.610847815	NA	NA	1.137440758	1.221695629	NA	0.884676145	NA	NA	0.642443391	NA	NA	NA	NA	1.084781464	1.706161137	2.222222222	NA	0.884676145	0.853080569	0.537124803	1.190100053	1.263823065
