	variable1	variable2	correlation	pvalue	support	corrected pvalue
	Richness	OTU_5	-0.537210722953607	8.05143299675848e-06	61	0.0012
	Richness	OTU_4	-0.585671548885949	3.28423079265505e-06	54	9e-04
	Richness	OTU_41	-0.548005329204379	4.58542285430852e-05	49	0.0035
	Richness	OTU_31	-0.546857728184345	0.000381542053343731	38	0.0194
	Richness	OTU_39	-0.522502029677815	0.00215644408102111	32	0.0543
	Richness	OTU_10	-0.270242784698944	0.0307965750042742	64	0.2296
	Richness	OTU_19	-0.48348856395211	0.00136323639673153	41	0.0412
	Richness	OTU_57	-0.515390546163195	6.66108981055569e-05	54	0.0047
	Richness	OTU_69	-0.354459959095505	0.0156509343345426	46	0.1621
	Richness	OTU_18	-0.332383579257791	0.0140642367903732	54	0.1496
	Richness	OTU_36	0.535220900120605	0.00849551534531168	23	0.1115
	Richness	OTU_34	-0.57754267980377	0.00200466381122677	26	0.0529
	Richness	OTU_3	0.670758345068738	1.41835314486638e-05	34	0.0015
	Shannon.effective	OTU_5	-0.513955928064215	2.26990442073749e-05	61	0.0022
	Shannon.effective	OTU_4	-0.617431007660665	6.59116439205576e-07	54	4e-04
	Shannon.effective	OTU_2	-0.2844437259461	0.0216518526888607	65	0.1868
	Shannon.effective	OTU_41	-0.411969926048594	0.00326964838633681	49	0.0691
	Shannon.effective	OTU_31	-0.656371351528493	7.65681877412661e-06	38	0.0012
	Shannon.effective	OTU_39	-0.57305807473878	0.000607843973357003	32	0.0245
	Shannon.effective	OTU_9	-0.324985117581329	0.00995963238069075	62	0.1245
	Shannon.effective	OTU_10	-0.327940471774934	0.00815923017716713	64	0.1115
	Shannon.effective	OTU_19	-0.351323428278859	0.0243011581244925	41	0.2002
	Shannon.effective	OTU_57	-0.439451937494002	0.000885344066476446	54	0.0324
	Shannon.effective	OTU_54	-0.476616732922644	0.0249216655135487	22	0.2047
	Shannon.effective	OTU_69	-0.324964437407566	0.0275561168164269	46	0.2167
	Shannon.effective	OTU_64	-0.46954313616369	0.0178794139978846	25	0.1704
