	variable1	variable2	correlation	pvalue	support	corrected pvalue
	Richness	OTU_5	-0.537210722953607	8.05143299675848e-06	61	0.0012
	Richness	OTU_4	-0.585671548885949	3.28423079265505e-06	54	9e-04
	Richness	OTU_41	-0.548005329204379	4.58542285430852e-05	49	0.0035
	Richness	OTU_31	-0.546857728184345	0.000381542053343731	38	0.0194
	Richness	OTU_39	-0.522502029677815	0.00215644408102111	32	0.0543
	Richness	OTU_57	-0.515390546163195	6.66108981055569e-05	54	0.0047
	Richness	OTU_36	0.535220900120605	0.00849551534531168	23	0.1115
	Richness	OTU_34	-0.57754267980377	0.00200466381122677	26	0.0529
	Richness	OTU_3	0.670758345068738	1.41835314486638e-05	34	0.0015
	Shannon.effective	OTU_5	-0.513955928064215	2.26990442073749e-05	61	0.0022
	Shannon.effective	OTU_4	-0.617431007660665	6.59116439205576e-07	54	4e-04
	Shannon.effective	OTU_31	-0.656371351528493	7.65681877412661e-06	38	0.0012
	Shannon.effective	OTU_39	-0.57305807473878	0.000607843973357003	32	0.0245
	Shannon.effective	OTU_51	0.577281086038494	0.00769442839079337	20	0.1094
	Shannon.effective	OTU_36	0.512909938546716	0.0123230032778485	23	0.1415
	Shannon.effective	OTU_34	-0.594330261790272	0.00136639334662503	26	0.0412
	Shannon.effective	OTU_3	0.570363339743719	0.000428527369130904	34	0.0206
	Simpson.effective	OTU_4	-0.564158628167343	8.88096585693887e-06	54	0.0012
	Simpson.effective	OTU_31	-0.508114250500906	0.00112672937127445	38	0.0364
	Simpson.effective	OTU_51	0.669160096832721	0.00125311967802855	20	0.0391
	OTU_1	OTU_2	0.507124997505109	2.59524931836008e-05	62	0.0022
	OTU_1	OTU_39	-0.530354201891664	0.00214762011898251	31	0.0543
	OTU_1	OTU_92	-0.637976696888832	0.00247324715171393	20	0.0601
	OTU_5	OTU_39	0.596109605109208	0.000643855992535247	29	0.0245
	OTU_5	OTU_20	0.537276109042478	8.23466251111959e-05	48	0.0053
	OTU_5	OTU_25	-0.522242356064139	0.00366028522005046	29	0.0715
