	Richness	Shannon.effective	Simpson.effective	OTU_1	OTU_5	OTU_4	OTU_2	OTU_41	OTU_31	OTU_39	OTU_23	OTU_9	OTU_20	OTU_17	OTU_12	OTU_10	OTU_19	OTU_11	OTU_57	OTU_54	OTU_46	OTU_14	OTU_30	OTU_15	OTU_69	OTU_16	OTU_67	OTU_33	OTU_18	OTU_6	OTU_26	OTU_24	OTU_101	OTU_538	OTU_43	OTU_62	OTU_25	OTU_64	OTU_29	OTU_13	OTU_7	OTU_92	OTU_8	OTU_32	OTU_28	OTU_68	OTU_397	OTU_93	OTU_88	OTU_51	OTU_36	OTU_34	OTU_3	OTU_22	OTU_44
OTU_1	0.18250409240171	0.865563247914714	0.286334835464272	NA	0.165794955676395	0.790136983535206	2.59524931836008e-05	0.000992153560619879	0.244548573957044	0.00214762011898251	0.0620101790190219	0.000459200916895108	0.195712702906035	0.909487650671654	0.0220228480798981	0.0638444973837244	0.0180270203754567	0.0104016090346248	0.612979684404565	0.172826833165565	0.502298864276254	0.0053332016806904	0.776662634992307	0.882289501629374	0.955245591491653	0.265621357897244	0.172482602288287	0.000521857204926146	0.00124228575713548	0.683364744070585	0.0201242528721539	0.688951859041374	0.903887059622541	0.03650314052084	0.00323203602712385	0.249266994174397	0.537218653744506	0.354856273898537	0.448216051283179	0.613663627329251	0.69689080044619	0.00247324715171393	0.909728907285716	0.837004410872629	0.529821624695288	0.535769378426525	0.263550614833467	0.0453826748191906	0.0438952464014384	0.0284620846938561	0.502419790847526	0.352511761809679	0.252306602245814	0.936461182297094	0.0600784766478748
OTU_5	8.05143299675848e-06	2.26990442073749e-05	0.00253743376151072	0.165794955676395	NA	0.000952535170961832	0.485403205091083	0.00445030652248901	0.022126600954367	0.000643855992535247	0.868410317750966	0.744799346385835	8.23466251111959e-05	0.440862867842015	0.492196649565193	0.00234873347446984	0.587182601394847	0.356053208797295	0.0187245416921145	0.638925293299951	0.892705946475378	0.328068826536339	0.102238339286217	0.928267498899078	0.0341843755452462	0.31206189562919	0.0686482195511182	0.420483987794493	0.0228772279992877	0.900733427949317	0.647018719282448	0.0254598188803365	0.154593227631415	0.0195704936091756	0.0852511447333169	0.260916375817204	0.00366028522005046	0.210887331894713	0.6258548575098	0.495057147149138	0.0158550847768253	0.922548043387315	0.277523384453215	0.0651027773589692	0.826784389901038	0.758565855181917	0.59222426754539	0.0811308625122102	0.459256644627659	0.579256581991862	0.0660874349704736	3.0066239820048e-05	0.0587914290336364	0.0238065430530248	0.93746224136975
OTU_4	3.28423079265505e-06	6.59116439205576e-07	8.88096585693887e-06	0.790136983535206	0.000952535170961832	NA	0.41437544004676	0.0217821883849405	0.00350451938473872	0.00810006886954673	0.976487145798486	0.528592247504024	0.0590000253697305	0.701236734172757	0.539191326668934	0.000348199418505502	0.419642424874714	0.292572705967826	0.00372587515089196	0.461010759896787	0.110715442516763	0.421163301726606	0.847403079124736	0.391529427503231	0.00422249688783505	0.0691509741150791	0.0930123826167806	0.578607971511399	0.237257918467107	0.411603787215813	0.443185651431148	0.187999768053236	0.141320740654542	0.999178765628622	0.946973260354154	0.575163827528055	0.575136967632115	0.00534810392634588	0.206567468933115	0.621845458147541	0.0824198789026633	0.976136678217813	0.049798322873446	0.256260088944636	0.376247009355042	0.9708333602188	0.226812076611163	0.841299586210708	0.432465261113265	0.0659233942535455	0.297215449978173	0.785677987665735	0.0712363663129207	0.0376170391085204	0.231346012155413
OTU_2	0.0643115294780134	0.0216518526888607	0.00129127059763312	2.59524931836008e-05	0.485403205091083	0.41437544004676	NA	0.395478383833703	0.381754311347578	0.0314624740051697	0.000984499770837477	3.88429795861178e-06	0.000635361895384046	0.354388078505065	0.311614651886062	0.608129379552873	0.0562513510005269	0.896847045315146	0.0034729628832022	0.957945642015566	0.0635124048242277	9.29986856190723e-06	0.822663597574291	0.939813816244309	0.148846774553885	0.411484547233731	1.24596911144081e-06	0.00302920185407141	0.165768500750027	0.280811440839357	0.000512775728876091	0.241226558727469	0.66754994897794	0.000371688291959327	0.00181692669738287	0.501240307986895	0.0481047344446301	0.23038521481429	0.257264305002375	0.770644535004931	0.248271431744837	0.652713614242045	0.665055058741784	0.344421943031718	0.254511949949958	0.318526417291298	0.420290560542824	0.604354271660856	0.0738526630012803	0.0753944417179115	0.333052007665023	0.181030078705881	0.14598392433153	0.384445884365074	0.0164783636979418
OTU_41	4.58542285430852e-05	0.00326964838633681	0.10484422161753	0.000992153560619879	0.00445030652248901	0.0217821883849405	0.395478383833703	NA	0.0956539422787803	0.0914782477603233	0.532887067932435	0.521188593390124	0.0109744855268996	0.263981467339684	0.00042001831145777	0.157529068006584	0.00515464523083287	0.0051128811588419	0.0153212143856523	0.197815253926796	0.376311605399101	0.742236215038863	0.860469666500056	0.798622784858999	0.0526223984423138	0.0727726046133892	0.895075166755988	0.296295838644081	9.41480693537056e-05	0.864963114059305	0.126901121010623	0.603927171808844	0.366368567910602	0.992795449447765	0.576253140791599	0.745866343779631	0.509432397149393	0.780075926383345	0.193088656037156	0.044903986463301	0.0171417275743693	0.00256508251840515	0.811841959834394	0.937431543898087	0.349237093342861	0.403106052788317	0.32628889670545	0.741749751402446	0.959640281050653	0.722002849706165	0.542864469073069	0.0597224077817626	0.958997504031237	0.90886023516442	0.215928975995309
OTU_31	0.000381542053343731	7.65681877412661e-06	0.00112672937127445	0.244548573957044	0.022126600954367	0.00350451938473872	0.381754311347578	0.0956539422787803	NA	4.93068652573925e-09	0.588975442455212	0.57602369020556	0.571742531847789	0.553070385443684	0.0897080313863468	0.134056774722049	0.389958388858063	0.632388835568744	0.526792745532161	0.00148937454542519	0.195071722928757	0.265852400579612	0.135087723237498	0.158543995096967	0.296923378007043	0.0374710288249296	0.350375801198031	0.806842081852775	0.243571599711341	0.782925961182189	0.462677391482412	0.879999201346625	0.752619546281704	0.387924113622471	0.694301255278242	0.155312112141504	0.515033463874638	0.0864076260836009	0.929040327251109	0.762150165686049	0.256362535496776	0.483713838931151	0.113758632889117	0.832921257679473	0.627713493707004	0.365966910541367	0.59020470076817	0.770088140921336	0.815608292525983	0.351826227015823	0.557913778221494	NA	0.573524975994984	0.533900325152787	0.337332153822313
OTU_39	0.00215644408102111	0.000607843973357003	0.043462807895895	0.00214762011898251	0.000643855992535247	0.00810006886954673	0.0314624740051697	0.0914782477603233	4.93068652573925e-09	NA	0.665272382089609	0.366671068480543	0.163755475408127	0.830863705575532	0.0381700849934963	0.220315145824192	0.374591759707115	0.771955774580513	0.721925731335273	0.141854904012124	0.611933816939127	0.294626574563339	0.589937762340082	0.252927259406035	0.815415770821725	0.0470397406374119	0.585725391498073	0.0257531456090758	0.00656255066335953	0.498715942379701	0.648975336798174	0.398897439536809	0.534801950104691	0.1267779062954	0.878620457291846	0.949635010521735	0.40097103541091	0.582691561446925	0.273705631649664	0.793758315408819	0.1897445654258	0.438032388261961	0.223391149187597	0.425977541434307	0.901701312286695	0.578543761376869	0.386666721446062	NA	0.210337739455474	0.964118098692284	0.346616671378962	NA	0.645856429816347	0.039465757280903	NA
OTU_23	0.499688306946914	0.278219126914654	0.0809257370867984	0.0620101790190219	0.868410317750966	0.976487145798486	0.000984499770837477	0.532887067932435	0.588975442455212	0.665272382089609	NA	0.00779587788714964	0.312076651096828	0.721799378857265	0.872814176923754	0.496147203290292	0.710924350124891	0.375795373351766	0.776232968540236	0.93154026890463	0.504069603606757	0.000611695932063006	0.28935256307227	0.77144622028627	0.749586599893495	0.355556200130294	0.174903442864054	0.0100319967440563	0.0946535777485265	0.551467940687001	0.461683586277813	0.922172330481856	0.313147280946524	0.0215089047948211	0.0360032084959223	0.757995797479732	0.59242935432273	0.630560586833736	0.0290366256795274	0.372425782746802	0.56900819934913	0.190993312626666	0.173401070853565	0.920639889355899	0.221292310005592	0.361493001910201	0.315502920699707	0.961072669618821	0.340464436771018	0.703677279429117	0.415454642225667	0.296433914718959	0.184989070576349	0.441099528346323	0.255820670718304
OTU_9	0.0709594620302814	0.00995963238069075	0.00107767807336479	0.000459200916895108	0.744799346385835	0.528592247504024	3.88429795861178e-06	0.521188593390124	0.57602369020556	0.366671068480543	0.00779587788714964	NA	0.161412057861668	0.264166173947718	0.335569834362202	0.410636965704268	0.154391889129586	0.261915362640441	0.0294096558556092	0.347063354139616	0.450426712522251	0.0383707634553041	0.760092288352522	0.914753872056354	0.423664366733407	0.442874123953101	0.0135550045385362	0.0103054639013638	0.871735612484146	0.787819434293833	0.00357600642550127	0.679493055569087	0.979865646568524	0.330747679996589	0.00534272159827864	0.870425965097291	0.169665838052298	0.718510201698523	0.225216942045192	0.822132559219338	0.389487161070905	0.829903806365846	0.775148083932407	0.787239280382807	0.639636940373941	0.207616577046574	0.938207190181128	0.807936967270324	0.211242766360169	0.212809246845852	0.168916580143927	0.45512229184562	0.234060204321691	0.219706803064955	0.0442200582113923
OTU_20	0.110003901326176	0.138368210895589	0.423596967889631	0.195712702906035	8.23466251111959e-05	0.0590000253697305	0.000635361895384046	0.0109744855268996	0.571742531847789	0.163755475408127	0.312076651096828	0.161412057861668	NA	0.231613585946975	0.202891328496494	0.0410908652035198	0.207618797539685	0.67299045035116	0.0761728141455658	0.939827192811854	0.262577187522716	0.015983067048432	0.825692660663092	0.773682075411084	0.00354471833598025	0.496388814314394	0.000466448069213143	0.0331978803673518	0.113717414443165	0.0404954066249541	0.00950860724636104	0.0202765271594574	0.150556064198502	0.00537539559779443	0.0750588856784078	0.867413457258631	0.0166430264405117	0.311267580453327	0.962083868215232	0.0126001483198614	0.0213960163656555	0.525131875791943	0.0735796866261702	0.204831351757084	0.430263920043324	0.916542356770619	0.280065387019621	0.0930666516938952	0.477568496949186	0.597845984972581	0.196868279284644	2.34696571825843e-05	0.0693233797892256	0.00636835171554351	0.496680658119799
