	Richness	Shannon.effective	Simpson.effective	OTU_1	OTU_5	OTU_4	OTU_2	OTU_41	OTU_31	OTU_39	OTU_23	OTU_9	OTU_20	OTU_17	OTU_12	OTU_10	OTU_19	OTU_11	OTU_57	OTU_54	OTU_46	OTU_14	OTU_30	OTU_15	OTU_69	OTU_16	OTU_67	OTU_33	OTU_18	OTU_6	OTU_26	OTU_24	OTU_101	OTU_538	OTU_43	OTU_62	OTU_25	OTU_64	OTU_29	OTU_13	OTU_7	OTU_92	OTU_8	OTU_32	OTU_28	OTU_68	OTU_397	OTU_93	OTU_88	OTU_51	OTU_36	OTU_34	OTU_3	OTU_22	OTU_44
OTU_1	62	62	62	62	58	51	62	48	35	31	45	59	48	34	35	61	40	33	53	19	25	39	40	30	44	34	44	52	52	37	40	33	20	33	49	21	28	24	34	43	30	20	32	24	40	22	17	22	20	20	23	26	32	19	20
OTU_5	61	61	61	58	61	51	61	46	35	29	43	58	48	33	35	61	40	31	51	21	25	37	40	27	45	34	42	52	53	36	39	31	21	32	49	24	29	23	32	43	29	20	30	23	39	21	18	21	20	18	21	26	30	21	20
OTU_4	54	54	54	51	51	54	54	42	36	30	41	52	42	28	34	54	35	28	45	22	20	31	36	27	40	30	36	45	46	33	34	28	19	26	42	21	27	21	29	37	25	18	27	20	36	18	18	16	19	13	17	18	25	16	15
OTU_2	65	65	65	62	61	54	65	49	38	32	47	62	49	35	38	64	41	34	54	22	26	40	42	31	46	37	45	54	54	40	42	35	21	34	52	24	30	25	35	45	31	21	34	25	43	23	20	22	23	20	23	26	34	21	21
OTU_41	49	49	49	48	46	42	49	49	28	24	35	46	42	30	29	49	35	29	43	17	22	31	35	26	38	27	37	45	42	30	35	25	16	27	42	16	22	23	23	33	26	20	23	15	30	17	14	21	16	14	17	22	24	15	20
OTU_31	38	38	38	35	35	36	38	28	38	32	32	37	28	18	28	38	23	18	32	22	9	16	26	19	28	21	23	29	33	19	23	15	13	10	27	20	20	12	22	23	16	14	16	14	24	12	12	3	15	10	5	2	11	6	4
OTU_39	32	32	32	31	29	30	32	24	32	32	27	31	24	13	25	32	21	17	27	19	6	13	22	16	23	16	19	24	28	14	19	9	12	7	21	16	17	9	19	18	14	12	13	12	21	12	9	1	11	8	5	0	7	3	2
OTU_23	47	47	47	45	43	41	47	35	32	27	47	45	35	25	30	46	27	22	40	17	17	29	29	21	33	29	32	37	40	31	31	24	17	24	36	21	19	19	30	32	19	14	27	17	32	12	14	14	13	13	15	14	23	12	13
OTU_9	62	62	62	59	58	52	62	46	37	31	45	62	46	34	36	61	38	31	51	22	24	38	40	30	43	34	42	51	52	38	40	33	19	32	50	23	29	23	34	43	30	19	33	25	42	23	20	20	22	19	23	24	32	19	19
OTU_20	49	49	49	48	48	42	49	42	28	24	35	46	49	26	27	49	33	27	43	17	23	33	33	23	39	27	38	46	44	30	33	25	18	29	39	17	22	21	22	33	24	17	24	18	31	16	13	20	15	14	19	23	25	18	18
OTU_17	35	35	35	34	33	28	35	30	18	13	25	34	26	35	19	35	19	21	29	10	16	25	20	19	23	22	31	29	28	22	23	22	7	21	31	11	11	19	20	27	17	13	19	13	24	9	11	17	12	13	16	18	21	14	15
OTU_12	38	38	38	35	35	34	38	29	28	25	30	36	27	19	38	37	27	20	32	18	13	21	27	16	29	24	25	29	29	24	28	17	12	16	32	20	18	12	20	26	20	14	20	12	26	12	13	6	12	6	10	7	15	9	9
OTU_10	64	64	64	61	61	54	64	49	38	32	46	61	49	35	37	64	41	33	54	22	25	39	42	30	46	36	44	54	54	39	41	34	21	33	51	24	30	25	34	45	31	21	33	24	42	22	20	22	22	19	22	26	33	21	20
OTU_19	41	41	41	40	40	35	41	35	23	21	27	38	33	19	27	41	41	22	35	13	19	27	35	16	32	26	27	37	36	26	28	16	16	24	34	15	19	15	17	25	18	19	16	11	25	15	9	15	15	10	12	18	17	12	16
OTU_11	34	34	34	33	31	28	34	29	18	17	22	31	27	21	20	33	22	34	28	11	15	23	18	17	25	16	28	29	28	20	22	18	11	20	29	9	15	16	18	22	19	14	18	15	26	13	10	14	14	9	16	16	20	10	13
OTU_57	54	54	54	53	51	45	54	43	32	27	40	51	43	29	32	54	35	28	54	19	23	34	37	24	43	29	40	47	46	33	37	27	15	29	45	19	24	22	27	36	29	19	27	18	33	18	15	19	16	15	16	22	28	18	16
