	Richness	Shannon.effective	Simpson.effective	k__Bacteria	p__Bacteroidetes	p__Deferribacteres	p__Firmicutes	p__Proteobacteria	p__Tenericutes	p__unknown_ Bacteria	c__Alphaproteobacteria	c__Bacilli	c__Bacteroidia	c__Betaproteobacteria	c__Clostridia	c__Deferribacteres	c__Deltaproteobacteria	c__Erysipelotrichia	c__Mollicutes	c__unknown_ Bacteria	c__unknown_ Bacteroidetes	c__unknown_ Firmicutes	o__Anaeroplasmatales	o__Bacteroidales	o__Burkholderiales	o__Clostridiales	o__Deferribacterales	o__Desulfovibrionales	o__Erysipelotrichales	o__Lactobacillales	o__unknown_ Alphaproteobacteria	o__unknown_ Bacteria	o__unknown_ Bacteroidetes	o__unknown_ Deltaproteobacteria	o__unknown_ Firmicutes	f__Anaeroplasmataceae	f__Bacteroidaceae	f__Deferribacteraceae	f__Desulfovibrionaceae	f__Erysipelotrichaceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Porphyromonadaceae	f__Prevotellaceae	f__Rikenellaceae	f__Ruminococcaceae	f__Sutterellaceae	f__unknown_ Alphaproteobacteria	f__unknown_ Bacteria	f__unknown_ Bacteroidales	f__unknown_ Bacteroidetes	f__unknown_ Clostridiales	f__unknown_ Deltaproteobacteria	f__unknown_ Firmicutes	g__Alistipes	g__Alloprevotella	g__Anaeroplasma	g__Anaerotruncus	g__Bacteroides	g__Barnesiella	g__Butyricicoccus	g__Clostridium IV	g__Clostridium XlVa	g__Clostridium XlVb	g__Flavonifractor	g__Lachnospiracea_incertae_sedis	g__Lactobacillus	g__Mucispirillum	g__Odoribacter	g__Oscillibacter	g__Parabacteroides	g__Parasutterella	g__Prevotella	g__Roseburia	g__Ruminococcus	g__Turicibacter	g__unknown_ Alphaproteobacteria	g__unknown_ Bacteria	g__unknown_ Bacteroidales	g__unknown_ Bacteroidetes	g__unknown_ Clostridiales	g__unknown_ Deltaproteobacteria	g__unknown_ Desulfovibrionaceae	g__unknown_ Firmicutes	g__unknown_ Lachnospiraceae	g__unknown_ Porphyromonadaceae	g__unknown_ Ruminococcaceae
31.188.9	134	50.61	27.04	100	58.37091319	0.338218715	36.17531003	3.494926719	0.760992108	0.366403608	0.310033822	22.12514092	57.58173619	2.874859076	12.7113867	0.338218715	0.310033822	0.366403608	0.760992108	0.366403608	0.789177001	0.972378805	0.760992108	57.58173619	2.874859076	12.7113867	0.338218715	NA	0.366403608	22.12514092	0.310033822	0.366403608	0.789177001	0.267756483	0.972378805	0.760992108	2.38162345	0.338218715	NA	0.366403608	6.341600902	22.12514092	37.14768884	1.479706877	13.55693348	3.494926719	2.874859076	0.310033822	0.366403608	3.01578354	0.789177001	2.522547914	0.267756483	0.972378805	13.55693348	1.155580609	0.760992108	NA	2.38162345	4.622322435	NA	0.338218715	NA	NA	0.310033822	NA	22.12514092	0.338218715	2.790304397	NA	0.394588501	2.874859076	0.324126268	NA	0.366403608	0.366403608	0.310033822	0.366403608	3.01578354	0.789177001	2.522547914	0.267756483	NA	0.972378805	5.989289741	29.34047351	2.071589628
54.194.10	179	92.46	48.79	100	29.46505608	0.269628991	68.44262295	1.283433995	NA	0.258843831	NA	0.28041415	28.80716135	0.625539258	67.93572045	0.269628991	0.657894737	NA	NA	0.258843831	0.657894737	NA	NA	28.80716135	0.625539258	67.93572045	0.269628991	0.593183779	NA	0.28041415	NA	0.258843831	0.657894737	NA	NA	NA	1.251078516	0.269628991	0.593183779	NA	51.6824849	0.28041415	19.32700604	NA	7.528041415	14.13934426	0.625539258	NA	0.258843831	0.539257981	0.657894737	2.038395168	NA	NA	7.528041415	NA	NA	NA	1.251078516	2.599223469	1.121656601	0.463761864	2.459016393	0.603968939	1.43442623	0.517687662	0.28041415	0.269628991	1.768766178	1.682484901	NA	0.625539258	NA	1.197152718	0.345125108	NA	NA	0.258843831	0.539257981	0.657894737	2.038395168	NA	0.57161346	NA	46.90465919	14.82959448	8.994823123
13.194.5	168	92.13	56.82	100	22.41241584	0.947164213	74.67762182	1.038457149	0.73034349	NA	NA	1.905740043	22.14994865	0.30811366	72.64635399	0.947164213	0.73034349	NA	0.73034349	NA	0.262467192	NA	0.73034349	22.14994865	0.30811366	72.64635399	0.947164213	0.661873788	NA	1.905740043	NA	NA	0.262467192	NA	NA	0.73034349	1.335159192	0.947164213	0.661873788	NA	53.53189547	1.905740043	14.75522081	NA	5.363460002	17.31142303	0.30811366	NA	NA	0.524934383	0.262467192	1.68891932	NA	NA	5.363460002	NA	0.73034349	0.981399064	1.335159192	2.316558256	0.867282894	0.262467192	1.654684469	0.627638936	1.472098596	0.753166724	1.905740043	0.947164213	0.981399064	1.540568299	NA	0.30811366	NA	NA	0.969987447	NA	NA	NA	0.524934383	0.262467192	1.68891932	NA	0.65046217	NA	50.48499372	11.36597056	11.21761954
64.194.12	165	81.08	43.38	100	36.14240649	0.360522758	59.59891843	3.244704822	NA	0.360522758	NA	5.903560162	35.48895899	2.523659306	53.19963948	0.360522758	0.721045516	NA	NA	0.360522758	0.653447499	0.47318612	NA	35.48895899	2.523659306	53.19963948	0.360522758	0.47318612	NA	5.903560162	NA	0.360522758	0.653447499	NA	0.47318612	NA	2.433528616	0.360522758	0.47318612	NA	36.95358269	5.903560162	18.61198738	0.518251465	13.36187472	12.4831005	2.523659306	NA	0.360522758	0.563316809	0.653447499	3.672825597	NA	0.47318612	13.36187472	NA	NA	NA	2.433528616	3.041910771	0.563316809	0.405588103	1.622352411	0.811176205	1.013970257	NA	5.903560162	0.360522758	2.523659306	1.780081118	0.540784137	2.523659306	0.47318612	0.450653447	1.825146462	NA	NA	0.360522758	0.563316809	0.653447499	3.672825597	NA	0.47318612	0.47318612	33.82154123	12.50563317	6.692203695
39.187.9	170	87.83	56.5	100	45.52224795	NA	51.27980474	1.996370236	NA	0.732211027	0.419300332	0.707178171	45.06539834	1.126478503	47.72513925	NA	0.450591401	NA	NA	0.732211027	0.456849615	2.797421616	NA	45.06539834	1.126478503	47.72513925	NA	0.375492834	NA	0.707178171	0.419300332	0.732211027	0.456849615	NA	2.797421616	NA	1.138994931	NA	0.375492834	NA	27.41097691	0.707178171	33.75680581	1.539520621	6.577382815	14.75061018	1.126478503	0.419300332	0.732211027	2.052694161	0.456849615	5.382063959	NA	2.797421616	6.577382815	0.650854246	NA	0.262844984	1.138994931	1.132736717	0.25658677	0.926215658	1.007572439	0.682145316	0.650854246	NA	0.707178171	NA	1.257900995	1.276675637	0.488140685	1.126478503	0.888666375	0.306652481	2.647224482	NA	0.419300332	0.732211027	2.052694161	0.456849615	5.382063959	NA	0.36923462	2.797421616	25.21434383	30.87802741	8.730208399
65.195.12	175	87.57	50.82	100	56.06642567	0.293718934	40.74785359	1.875282422	NA	0.338906462	NA	1.468594668	54.1572526	1.366922729	38.64663353	0.293718934	0.417984636	NA	NA	0.338906462	1.909173068	0.542250339	NA	54.1572526	1.366922729	38.64663353	0.293718934	NA	NA	1.468594668	NA	0.338906462	1.909173068	NA	0.542250339	NA	3.174423859	0.293718934	NA	NA	25.71170357	1.468594668	39.27925892	0.858563037	10.3931315	9.929959331	1.366922729	NA	0.338906462	0.451875282	1.909173068	2.767736105	NA	0.542250339	10.3931315	NA	NA	NA	3.174423859	3.750564844	NA	1.186172616	2.293267058	0.4405784	1.050610032	0.519656575	1.468594668	0.293718934	1.762313601	0.847266155	1.028016268	1.366922729	0.700406688	0.429281518	0.790781744	NA	NA	0.338906462	0.451875282	1.909173068	2.767736105	NA	NA	0.542250339	22.01762314	32.73836421	5.727519205
25.187.7	164	79.15	46.92	100	57.59321665	NA	39.27600826	2.489401022	NA	NA	0.413088379	3.098162844	56.7452984	1.8806392	33.27535602	NA	NA	NA	NA	NA	0.847918252	2.869877161	NA	56.7452984	1.8806392	33.27535602	NA	NA	NA	3.098162844	0.413088379	NA	0.847918252	NA	2.869877161	NA	2.761169692	NA	NA	NA	20.30655506	3.098162844	44.10261985	1.989346668	6.315903903	6.185454941	1.8806392	0.413088379	NA	1.576258289	0.847918252	6.185454941	NA	2.869877161	6.315903903	0.804435265	NA	NA	2.761169692	2.750298946	NA	0.554408088	1.706707251	0.750081531	0.369605392	0.565278835	3.098162844	NA	0.95662572	0.380476139	0.695727796	1.8806392	1.184911403	NA	1.565387542	NA	0.413088379	NA	1.576258289	0.847918252	6.185454941	NA	NA	2.869877161	17.18665072	39.69996739	3.141645831
18.189.7	132	53.61	27.59	100	59.89540775	NA	37.0321948	2.64749142	NA	NA	0.621016506	8.84131394	59.14365092	1.242033012	28.06014055	NA	0.784441902	NA	NA	NA	0.751756823	NA	NA	59.14365092	1.242033012	28.06014055	NA	NA	NA	8.84131394	0.621016506	NA	0.751756823	0.670044125	NA	NA	2.271613009	NA	NA	NA	19.08808629	8.84131394	29.61268181	1.944762216	18.5160974	6.324562837	1.242033012	0.621016506	NA	6.798496486	0.751756823	2.500408563	0.670044125	NA	18.5160974	1.715966661	NA	0.294165713	2.271613009	9.021081876	0.343193332	0.277823174	0.915182219	NA	1.127635235	NA	8.84131394	NA	1.863049518	0.44124857	0.294165713	1.242033012	NA	NA	NA	NA	0.621016506	NA	6.798496486	0.751756823	2.500408563	0.670044125	NA	NA	18.04216375	18.4343847	3.709756496
19.190.7	152	66.59	34.4	100	34.69930814	NA	57.79670037	5.822245875	0.46833422	0.808940926	3.757317722	2.724853646	34.34805748	0.329962746	53.2623736	NA	1.734965407	NA	0.46833422	0.808940926	0.351250665	1.724321448	0.46833422	34.34805748	0.329962746	53.2623736	NA	0.47897818	NA	2.724853646	3.757317722	0.808940926	0.351250665	1.255987227	1.724321448	0.46833422	0.936668441	NA	0.47897818	NA	33.78392762	2.724853646	12.70888771	1.458222459	17.61575306	17.81798829	0.329962746	3.757317722	0.808940926	1.628525812	0.351250665	1.596593933	1.255987227	1.724321448	17.61575306	0.361894625	0.46833422	NA	0.936668441	0.840872805	0.457690261	0.95795636	3.395423097	NA	1.756253326	NA	2.724853646	NA	3.054816392	3.118680149	NA	0.329962746	1.096327834	NA	0.585417775	NA	3.757317722	0.808940926	1.628525812	0.351250665	1.596593933	1.255987227	0.415114423	1.724321448	30.13304949	8.5790314	10.80361895
12.192.5	168	83.64	48.71	100	46.03475513	0.410742496	51.42706688	1.40073723	NA	0.505529226	NA	7.256450764	45.2764613	0.832016851	42.46445498	0.410742496	0.568720379	NA	NA	0.505529226	0.758293839	1.706161137	NA	45.2764613	0.832016851	42.46445498	0.410742496	NA	NA	7.256450764	NA	0.505529226	0.758293839	0.452869932	1.706161137	NA	1.853607162	0.410742496	NA	NA	29.7314376	7.256450764	30.03686151	0.368615061	12.28014745	8.457082675	0.832016851	NA	0.505529226	0.737230121	0.758293839	4.065297525	0.452869932	1.706161137	12.28014745	NA	NA	NA	1.853607162	4.160084255	NA	NA	1.3059505	0.421274355	0.684570827	1.295418641	7.256450764	0.410742496	1.737756714	0.768825698	NA	0.832016851	NA	0.452869932	2.327540811	NA	NA	0.505529226	0.737230121	0.758293839	4.065297525	0.452869932	NA	1.706161137	26.07688257	23.89678778	4.149552396
